Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TEX,Rangers,9.58069,9.68472,27.7278,27.7278,0,0,0,156.36,659.36,138.249,73.9203,68.0067,20.1726,176.1,59.6775,0.655915,6.42668,3.91444,1.26584,10.1363,3.43501,2.95086,1.16113,0.267077,0.0905082,0.17656920105218887,,0.233035,0.297435,0.730803,3.82813,703.6000000000001,4.510256410256411,674,4.32051282051282,2.57123,2.11205,4.601,-1.46,1.02067,11.7679,4.601,1.4566,3.6391,164.67999267578125,13,AL,MacKenzie Gore,669022,22201,22201
SDP,Padres,10.2294,8.8971,27.5801,27.5801,0,0,0,166.467,681.769,142.838,78.8184,72.5129,25.9029,181.366,49.9093,1.06534,4.60336,3.9204,1.15788,9.80552,2.69834,3.63391,1.40044,0.266022,0.0732055,0.1928168460726738,,0.227719,0.278426,0.728058,3.96139,733.8000000000002,4.420481927710845,689,4.150602409638554,2.55146,2.45683,1.63909,1.56592,0.976874,13.2541,1.63909,-1.56592,3.6975,95.66000366210938,29,NL,Nick Pivetta,601713,15454,15454
LAD,Dodgers,9.00422,5.85357,21.3439,21.3439,0,0,0,124.58,516.023,97.415,51.8224,47.6766,13.2825,153.115,53.1584,0.949637,2.92159,3.44429,1.20865,11.0614,3.84031,2.88034,0.959563,0.296721,0.103016,0.19370492547750473,,0.211798,0.286608,0.748239,3.41354,650.9000000000001,5.207200000000001,594,4.752,2.53854,2.65692,2.39135,0.480037,0.678846,10.4346,2.39135,-0.480037,4.09487,165.0800018310547,22,NL,Blake Snell,605483,13543,13543
KCR,Royals,8.49757,7.83632,23.7073,29.7656,0.0121884,0.530422,1.34162,137.505,576.839,127.11,62.2989,57.315,14.6483,133.674,44.9749,1.7979,4.61526,3.7514,1.25149,8.74927,2.94372,2.97219,0.958763,0.231735,0.077968,0.1537674516439438,,0.241082,0.296791,0.72429,3.65766,628.5,4.554347826086956,617,4.471014492753623,2.53211,2.36232,1.91717,0.178011,0.533729,10.365,1.91717,-0.178011,4.28836,193.38999938964844,7,AL,Kris Bubic,663460,21455,21455
CHC,Cubs,10.647,8.71422,26.8225,26.8225,0,0,0,159.413,662.08,146.179,74.8888,68.8977,21.0334,145.959,45.0597,0.916387,6.9495,3.88976,1.19964,8.24041,2.54394,3.23923,1.18749,0.220455,0.0680577,0.15239708125591278,,0.23961,0.282446,0.719133,3.99796,674.7000000000002,4.243396226415095,658,4.138364779874214,2.50485,2.42337,4.10891,3.71336,0.745341,12.2546,4.10891,-3.71336,4.00621,214.4499969482422,17,NL,Matthew Boyd,571510,15440,15440
MIA,Marlins,10.4169,10.9536,28.3523,28.3523,0,0,0,176.905,745.675,172.053,88.798,81.6941,20.6088,148.673,51.2652,0.9123,7.12429,4.15618,1.26236,7.56373,2.60811,2.90008,1.04847,0.199381,0.06875,0.13063082844018936,,0.250337,0.292361,0.691742,3.95895,728.3,4.114689265536723,736,4.15819209039548,2.48635,2.34813,2.58825,0.464604,1.08687,12.3379,2.58825,-0.464604,3.55084,145.35000610351562,20,NL,Sandy Alcantara,645261,18684,18684
ATL,Braves,10.6706,8.81319,26.2808,26.2808,0,0,0,155.816,651.026,134.786,74.3538,68.4055,20.9988,180.628,55.8965,0.685613,6.9189,3.95113,1.22376,10.4331,3.2286,3.23146,1.2129,0.277451,0.0858591,0.19159139692783356,,0.229145,0.294339,0.721265,3.77805,718.1000000000001,4.603205128205129,680,4.358974358974359,2.48484,2.45836,2.64508,-0.115802,1.03149,11.1553,2.64508,0.115802,3.62468,107.9800033569336,16,NL,Spencer Strider,675911,27498,27498
LAD,Dodgers,7.75164,4.99658,21.7068,21.7068,0,0,0,113.22,459.654,91.0752,46.0344,42.3517,13.596,134.412,34.5279,0.522105,4.58152,3.3666,1.10938,10.6846,2.74468,3.89285,1.08077,0.29242,0.0751172,0.21730270236730576,,0.216565,0.284289,0.746642,3.35817,575.4,5.092035398230088,531,4.699115044247788,2.46263,2.50699,2.25962,0.485482,0.73978,8.06023,2.25962,-0.485482,4.01363,1.2400000095367432,22,NL,Shohei Ohtani,660271,19755,19755
PHI,Phillies,9.99338,9.94197,27.3212,27.3212,0,0,0,164.475,686.327,158.063,82.5512,75.9471,25.1383,162.062,44.9004,0.669439,5.19354,4.15579,1.23401,8.86795,2.45693,3.60936,1.37555,0.23613,0.0654214,0.17070820927619934,,0.248436,0.296025,0.717723,4.0651,669.3000000000002,4.081097560975611,669,4.079268292682927,2.45213,2.14372,3.69518,-0.399987,1.03093,12.3317,3.69518,0.399987,3.62542,208.75,26,NL,Aaron Nola,605400,16149,16149
CLE,Guardians,10.8586,9.78732,28.6735,28.6735,0,0,0,174.513,729.122,161.501,84.0178,77.2964,23.7916,163.721,51.9791,0.9945,7.8081,3.98633,1.22329,8.44339,2.68066,3.14974,1.22698,0.224545,0.0712899,0.15325499325990677,,0.241285,0.285809,0.718549,4.05891,726.5999999999999,4.151999999999999,711,4.062857142857143,2.45106,2.2847,3.01089,-1.41645,0.972097,12.0547,3.01089,1.41645,3.70387,187.3000030517578,5,AL,Tanner Bibee,676440,30134,30134
