Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CHC,Cubs,13,12,32,32,0,0,,200,848,178,95,88,24,213,81,,10,3.96399,1.29672,9.56995,3.64403,2.6262,1.06248,0.250839,0.095514,0.1553250253200531,0.455592,0.235718,0.297369,0.724327,3.91011,875,4.375,841,4.205,2.73547,2.95768,175.3300018310547,17,NL,Edward Cabrera,665795,21690,21690
NYM,Mets,13,11,32,32,0,0,,200,855,184,90,82,21,190,78,,11,3.70647,1.30939,8.53592,3.48757,2.44753,0.935266,0.221839,0.090638,0.1312011256814003,0.498651,0.240514,0.294167,0.736229,3.9163,856.3000000000001,4.2815,840,4.2,2.72515,3.23626,88.3499984741211,25,NL,Nolan McLean,690997,33703,33703
BOS,Red Sox,12,13,32,32,0,0,,200,867,212,105,96,22,162,64,,12,4.32594,1.3782,7.2882,2.8782,2.53221,1.0035,0.186891,0.0738057,0.11308562755584717,0.512933,0.267821,0.312446,0.699861,4.10834,754.2,3.7710000000000004,810,4.05,2.72192,2.26212,999,3,AL,Tanner Houck,656557,19879,19879
,,12,12,32,32,0,0,,200,854,203,97,89,25,162,62,,7,4.01517,1.3228,7.3017,2.7819,2.62472,1.1043,0.190045,0.0724057,0.11763878911733627,0.455998,0.258182,0.297764,0.727442,4.13574,761.7,3.8085000000000004,792,3.96,2.70708,2.76414,999,-1,,Clayton Kershaw,477132,2036,2036
MIN,Twins,12,13,32,32,0,1,,200,853,192,101,94,28,195,71,,7,4.2384,1.31783,8.77457,3.20121,2.74102,1.25127,0.228587,0.0833951,0.14519232511520386,0.399316,0.248188,0.297939,0.723291,4.15797,796.3999999999999,3.9819999999999993,796,3.98,2.70209,2.29227,505.94000244140625,8,AL,Taj Bradley,671737,22543,22543
TEX,Rangers,12,12,32,32,0,1,,200,850,199,100,93,26,178,63,,8,4.17399,1.31011,8.01879,2.83083,2.83266,1.14997,0.209652,0.0740124,0.13563977926969528,0.457353,0.25557,0.30166,0.714679,4.07706,789.8000000000001,3.9490000000000003,809,4.045,2.6983,2.20145,735.489990234375,13,AL,Kumar Rocker,677958,31843,31843
MIA,Marlins,11,13,32,32,0,1,,200,848,195,98,90,25,184,65,,8,4.05203,1.30149,8.28994,2.92012,2.8389,1.12232,0.217294,0.0765416,0.1407521292567253,0.461785,0.252006,0.301048,0.72169,4.00001,818.5,4.0925,828,4.14,2.69632,2.89978,306.8299865722656,20,NL,Max Meyer,676974,27474,27474
ATL,Braves,12,11,32,32,0,1,,200,847,188,97,90,26,204,69,,7,4.04037,1.28477,9.16163,3.11551,2.94066,1.15094,0.240334,0.0817279,0.1586056873202324,0.400997,0.243365,0.299056,0.72504,3.89824,855.4000000000001,4.277,846,4.23,2.69081,2.93618,288.95001220703125,16,NL,Reynaldo López,625643,16400,16400
MIA,Marlins,11,13,32,32,0,0,,200,853,203,100,92,24,170,60,,8,4.15934,1.31662,7.63765,2.70299,2.82563,1.06836,0.199088,0.0704579,0.12862997502088547,0.469799,0.259194,0.303892,0.708522,4.0059,793,3.965,824,4.12,2.68731,2.69631,145.35000610351562,20,NL,Sandy Alcantara,645261,18684,18684
PIT,Pirates,12,12,32,32,0,1,,200,853,200,98,91,23,170,65,,8,4.07676,1.3282,7.64386,2.9426,2.59766,1.02574,0.199059,0.0766301,0.12242843955755234,0.461847,0.256878,0.302364,0.715722,4.02487,802.0999999999999,4.0104999999999995,826,4.13,2.66846,2.98385,243.8300018310547,27,NL,Braxton Ashcraft,677952,23793,23793
