Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TOR,Blue Jays,125,396,450,109,75,19,1,14,54,56,46,2,56,4,3,1,,1,0,0.274184,0.352589,0.433389,0.785977,0.342092,0.1027,0.123801,0.829557,0.159205,2.22505,0.286067,-1.56639,,63.7798,10.6088,-1.34522,-0.749825,-2.31621,4.20886,8.716626167297363,6.720020890235901,120.802,558.7,4.4696,558.7,4.4696,158.9499969482422,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
LAD,Dodgers,142,509,600,137,81,25,2,29,96,84,81,6,91,4,4,2,,19,4,0.268672,0.37093,0.496038,0.866968,0.37069,0.1349,0.151675,0.889403,0.227366,5.36778,0.274677,0.0298795,,98.9711,28.0765,-1.89735,1.0212,1.05108,4.18733,29.51664102077484,-8.551937937736511,140.029,894.6,6.3,894.6,6.3,13.220000267028809,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
ARI,Diamondbacks,142,515,600,139,96,27,3,13,76,66,72,1,79,7,4,1,,19,6,0.270088,0.364406,0.411549,0.775955,0.342172,0.1206,0.132031,0.913421,0.141461,5.20125,0.295047,0.401823,,85.0788,14.1842,-0.590345,0.312569,0.714392,4.14262,14.225672125816345,6.302045285701752,119,737.3,5.192253521,737.3,5.192253521,76.68000030517578,0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
ATH,Athletics,142,552,600,166,116,34,1,14,71,70,36,1,49,7,4,2,,6,2,0.300756,0.348644,0.445461,0.794104,0.344375,0.0592,0.0814661,0.726683,0.144705,3.60852,0.307644,0.0720654,,86.1518,15.2572,-0.201024,-0.626108,-0.554043,4.13116,12.847731709480286,6.879081338644028,118.951,748.3,5.269718309,748.3,5.269718309,193.58999633789062,0.008,SS,/players/jacob-wilson/33266/stats/batting,10,AL,Jacob Wilson,805779,33266,33266
NYM,Mets,142,551,600,159,108,31,1,18,75,76,39,1,98,4,4,1,,6,2,0.287852,0.337413,0.448744,0.786157,0.339476,0.0652999,0.163388,0.399663,0.160892,3.65252,0.319703,0.318462,,83.7652,12.8705,3.72373,-0.554865,-0.236403,4.01775,15.008571609854698,4.2986356019973755,121.438,739,5.204225352,739,5.204225352,94.25,0.05035971,SS,/players/bo-bichette/19612/stats/batting,25,NL,Bo Bichette,666182,19612,19612
PHI,Phillies,142,549,600,154,105,28,4,18,84,64,39,1,108,5,4,3,,26,5,0.280495,0.332315,0.441699,0.774014,0.334829,0.0650999,0.180748,0.360169,0.161204,6.4806,0.319544,1.65607,,81.5018,10.6071,-1.6797,2.21438,3.87045,3.90351,13.359308958053589,4.831359386444092,113.343,754,5.309859154,754,5.309859154,26.3799991607666,0.00714286,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
HOU,Astros,142,536,600,144,95,28,1,19,73,77,55,2,118,4,4,1,,1,0,0.26777,0.337878,0.433125,0.771003,0.334653,0.0911,0.196013,0.464764,0.165354,2.34434,0.307975,-0.03582,,81.4158,10.5211,4.67142,-0.965101,-1.00092,3.90295,10.065503716468811,7.430800914764404,115.649,714.8,5.033802816,714.8,5.033802816,281.4200134277344,0,SS,/players/carlos-correa/14162/stats/batting,21,AL,Carlos Correa,621043,14162,14162
ATL,Braves,142,563,600,155,99,28,4,24,74,81,26,1,114,5,4,2,,19,5,0.275184,0.31083,0.465309,0.776139,0.331559,0.0436999,0.190115,0.22986,0.190126,5.95321,0.305894,0.762197,,79.9086,9.01401,4.55351,0.765288,1.52749,3.80772,10.233599185943604,7.0208210945129395,112.243,749.7,5.279577464,749.7,5.279577464,99.72000122070312,0,OF,/players/michael-harris-ii/25931/stats/batting,16,NL,Michael Harris II,671739,25931,25931
TEX,Rangers,142,516,600,132,80,27,2,24,84,74,72,3,136,5,4,2,,20,6,0.256282,0.350809,0.454676,0.805486,0.348435,0.1201,0.226396,0.530487,0.198394,5.19692,0.300437,0.665738,,88.1295,17.2349,0.111672,0.57463,1.24037,3.80003,19.607561826705933,-3.1171583458781242,125.973,790.7,5.568309859,790.7,5.568309859,39.849998474121094,0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
ARI,Diamondbacks,125,399,450,112,77,21,2,11,53,55,44,2,77,4,3,1,,4,2,0.280007,0.353612,0.427004,0.780616,0.33979,0.0967,0.170572,0.566916,0.146997,3.70037,0.319694,0.382133,,62.9389,9.76796,2.22687,-0.575908,-0.193775,3.78746,9.06949469447136,10.105294227600098,117.368,549.9,4.3992,549.9,4.3992,180.82000732421875,0.09638554,C,/players/gabriel-moreno/22664/stats/batting,15,NL,Gabriel Moreno,672515,22664,22664
ATH,Athletics,142,516,600,133,69,25,2,38,95,87,73,4,171,4,4,3,,5,1,0.258153,0.352946,0.533622,0.886568,0.375692,0.1224,0.28493,0.429579,0.275469,3.90744,0.306525,0.131939,,101.408,30.5133,-0.862599,-0.544082,-0.412143,3.76023,28.245726138353348,-12.144358515739441,140.525,907.6,6.391549295,907.6,6.391549295,19,0.04273504,1B,/players/nick-kurtz/35110/stats/batting,10,AL,Nick Kurtz,701762,35110,35110
LAA,Angels,142,538,600,136,80,29,1,26,83,69,41,4,143,14,4,3,,27,8,0.252447,0.319743,0.455648,0.775391,0.332734,0.0686999,0.238696,0.287813,0.203201,5.73709,0.294851,0.552306,,80.4808,9.58621,-1.74212,1.28553,1.83784,3.71199,10.729323744773865,4.900586843490601,112.573,751.7,5.293661971,751.7,5.293661971,30.649999618530273,0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
DET,Tigers,142,522,600,134,86,30,3,16,81,55,66,0,88,5,4,3,,13,3,0.257006,0.343534,0.414309,0.757842,0.33266,0.1099,0.14706,0.747315,0.157303,5.20566,0.281187,-0.101763,,80.4451,9.55045,0,0.178917,0.0771538,3.69543,9.58868470042944,5.879361152648926,113.45,712.2,5.015492957,712.2,5.015492957,999,0,SS,/players/kevin-mcgonigle/sa3022895/stats/batting,6,AL,Kevin McGonigle,805808,sa3022895,sa3022895
STL,Cardinals,142,545,600,142,96,30,2,15,72,63,43,0,102,5,4,2,,12,4,0.261396,0.319731,0.405001,0.724732,0.316308,0.0721,0.170748,0.422259,0.143605,4.70657,0.295214,1.15845,,72.4794,1.58476,4.02174,-0.0948394,1.06361,3.57428,4.202838182449341,10.76994514465332,104.414,645.2,4.543661971,645.2,4.543661971,340.8500061035156,0,SS,/players/masyn-winn/27479/stats/batting,28,NL,Masyn Winn,691026,27479,27479
