Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brandon Lockridge","MIL",33.648,112.675,102.819,23.8395,17.7556,4.74501,0.479679,0.859256,11.7669,7.76774,7.20175,0.213394,29.2956,0.883926,0.666224,1.10395,1.87337,5.72253,1.12848,0.231859,0.0639161,0.260001,0.24583,0.286142,0.312409,0.265716,0.598552,0.0805506,6.35396,0.313379,,0.513185,8.98276,-4.33066,68.3637,0.513185,2.37,-3.7116323113441467,2.110370248556137,0.219712,999,,,,,,,87.9,2.585294117,87.9,2.585294117,,,,,,,,,,,,,,,,,,,"Brandon Lockridge","21496",663604
"Moisés Ballesteros","CHC",91.988,354.341,320.562,81.5822,56.5903,15.5186,1.06397,8.40931,38.3496,40.3802,28.1002,1.70145,66.8936,2.23287,2.85242,0.593988,7.16953,1.35325,0.449026,0.254498,0.0793026,0.188783,0.420072,0.316371,0.388246,0.30692,0.704617,0.133748,3.12583,0.29492,,-0.475841,40.1031,-1.76504,97.6274,-0.475841,0,-1.4722543358802795,-8.201948165893555,0.216371,639.530029296875,,,,,,,357.4,3.884782608,357.4,3.884782608,,,,,,,,,,,,,,,,,,,"Moises Ballesteros","28820",694208
"Jesus Rodriguez","SFG",13.652,52.183,47.7274,12.6761,9.53986,2.29209,0.170716,0.673413,5.69966,4.8724,3.62559,0.276838,7.90691,0.404013,0.345632,0.0803541,1.14597,1.08964,0.200827,0.265593,0.0694783,0.151523,0.458534,0.32063,0.3631,0.299802,0.683731,0.0975072,4.80868,0.303921,,0.0479322,5.60432,-0.561505,93.3525,0.0479322,-0.15,-0.3632020875811577,0.7348518669605255,0.215653,999,,,,,,,53.9,3.85,53.9,3.85,,,,,,,,,,,,,,,,,,,"Jesus Rodriguez","sa3008916",683679
"Walker Jenkins","MIN",19.463,78.8,70.8799,17.525,11.7916,3.62826,0.38945,1.71564,9.15949,7.74274,6.3935,0.144427,16.9009,0.857976,0.543452,0.125179,1.3518,1.6419,0.290284,0.247249,0.0811357,0.214479,0.378293,0.314922,0.382042,0.305623,0.696964,0.134792,5.20441,0.299381,,0.0847412,8.83533,-0.475502,94.318,0.0847412,0,-0.4429750069975853,-0.18021295964717865,0.213729,999,,,,,,,85,4.47368421,85,4.47368421,,,,,,,,,,,,,,,,,,,"Walker Jenkins","sa3022894",805805
"Pavin Smith","ARI",98.803,397.991,348.623,81.0027,51.9341,16.6389,1.06058,11.3692,45.1174,45.9675,44.1248,1.32421,101.086,2.04437,2.80083,0.397707,7.32773,2.10043,0.733873,0.23235,0.110869,0.253991,0.436506,0.319854,0.383997,0.309321,0.703852,0.151647,3.32776,0.291392,,-0.51935,45.8191,-1.20658,96.4958,-0.51935,-0.22,-2.172290027141571,-9.016563147306442,0.209987,999,,,,,,,402,4.06060606,402,4.06060606,,,,,,,,,,,,,,,,,,,"Pavin Smith","19892",656976
"José Tena","WSN",56.136,214.604,197.418,47.6404,34.0636,9.25512,0.832584,3.48912,21.9658,19.5646,13.6577,0.277041,55.6071,1.30576,1.24433,0.97768,4.02437,5.92543,1.81854,0.241317,0.0636416,0.259115,0.245612,0.293053,0.349653,0.282486,0.642706,0.108337,5.22594,0.316345,,0.118533,20.0308,-5.3263,79.1172,0.118533,-0.91,-5.193005830049515,0.06807643175125122,0.20616,999,,,,,,,182.6,3.260714285,182.6,3.260714285,,,,,,,,,,,,,,,,,,,"Jose Tena","23691",677588
"Nick Yorke","PIT",40.359,155.806,143.515,36.0288,26.1429,6.81893,0.565604,2.50139,16.8077,15.046,9.88006,0.531484,35.3715,1.22749,0.96793,0.21596,2.94204,3.50142,1.12403,0.251047,0.0634125,0.227023,0.279323,0.302952,0.358731,0.289884,0.661684,0.107685,4.78634,0.314488,,-0.00243325,15.4785,-2.93118,82.2812,-0.00243325,-0.15,-3.2744223561603576,0.08355900645256042,0.203892,999,,,,,,,149.6,3.74,149.6,3.74,,,,,,,,,,,,,,,,,,,"Nick Yorke","27504",694377
"Everson Pereira","CHW",57.509,221.826,201.601,44.3371,28.1519,8.4523,0.636091,7.09678,24.2693,23.4774,16.4488,0.177062,70.5634,2.28744,1.16244,0.326543,3.45494,3.59741,1.02978,0.219925,0.0741519,0.318103,0.233107,0.284756,0.373768,0.288239,0.658524,0.153843,4.53598,0.297677,,-0.0106005,21.7411,-4.46938,82.8438,-0.0106005,0.69,-4.496050262823701,-1.1708547472953796,0.20135,999,,,,,,,197.9,3.412068965,197.9,3.412068965,,,,,,,,,,,,,,,,,,,"Everson Pereira","23695",677592
"David Hamilton","MIL",53.554,187.111,170.397,35.4506,23.0377,6.80605,1.48019,4.12668,23.3672,14.9338,13.7524,0.266274,50.7787,1.01012,1.04797,0.903943,1.10875,15.1799,2.88067,0.208048,0.0734984,0.271383,0.270829,0.269663,0.338018,0.26706,0.607681,0.12997,8.02317,0.268785,,1.60852,15.1212,-6.98744,69.2843,1.60852,-0.01,-5.203155517578125,0.9304437544196844,0.199767,741.4299926757812,,,,,,,154.7,2.864814814,154.7,2.864814814,,,,,,,,,,,,,,,,,,,"David Hamilton","27531",666152
"Jesse Winker",,57.711,228.258,196.502,45.2774,30.1074,8.33094,0.47442,6.36463,26.5505,23.2559,27.0281,0.941792,49.8876,2.57111,1.43892,0.718251,4.18115,3.41659,1.14773,0.230417,0.11841,0.218558,0.541779,0.32907,0.374811,0.311614,0.703882,0.144394,3.95091,0.274636,,-0.174643,26.7034,-0.267024,98.7709,-0.174643,-0.53,-0.5062309056520462,-5.2703001499176025,0.199377,999,,,,,,,227.5,3.922413793,227.5,3.922413793,,,,,,,,,,,,,,,,,,,"Jesse Winker","13590",608385
