Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,12.2579,0,33,33,0,0,,198,781.75,171.138,83.8502,76.7707,24.8401,189.828,40.2449,2.37611,7.8253,3.48958,1.06759,8.62855,1.82932,4.71682,1.1291,0.242825,0.0514806,0.19134416058659554,,0.233259,0.281877,0.722128,3.57693,949.1,4.793434343434344,901,4.55050505050505,3.93034,4.02888,0,35.130001068115234,11,AL,Bryan Woo,693433,30279,30279
BAL,Orioles,12.7384,0,33,33,0,0,,198,817.132,173.109,84.8723,77.7065,21.1129,207.007,64.1096,2.48366,8.90624,3.53211,1.19807,9.40941,2.91407,3.22896,0.959677,0.253334,0.0784568,0.17487695068120956,,0.232636,0.294567,0.733631,3.53666,952.1000000000001,4.808585858585859,912,4.606060606060606,3.92412,3.91911,0,73.29000091552734,2,AL,Kyle Bradish,680694,24586,24586
TEX,Rangers,12.0716,0,33,33,0,0,,198,781.785,173.507,86.5483,79.2409,20.2781,181.463,52.2867,2.37622,8.22262,3.60186,1.14037,8.24832,2.37667,3.47054,0.921733,0.232114,0.0668812,0.1652323454618454,,0.240556,0.294935,0.705382,3.55038,948.8000000000001,4.791919191919193,912,4.606060606060606,3.86966,3.70117,0,134.66000366210938,13,AL,Nathan Eovaldi,543135,9132,9132
TOR,Blue Jays,12.5763,0,33,33,0,0,,198,802.318,157.239,83.9087,76.8243,23.2112,224.802,72.8936,2.43863,9.0727,3.49201,1.16228,10.2183,3.31334,3.08397,1.05505,0.28019,0.0908537,0.18933656811714172,,0.21828,0.283753,0.739861,3.63029,978.1000000000001,4.939898989898991,895,4.52020202020202,3.79173,4.02888,0,177.80999755859375,14,AL,Trey Yesavage,702056,35456,35456
WSN,Nationals,11.7063,0,33,33,0,0,,198,760.23,153.27,87.0349,79.6865,21.636,211.122,69.3196,2.3107,8.60501,3.62211,1.12419,9.59644,3.15089,3.04563,0.983453,0.277708,0.0911824,0.1865253821015358,,0.224635,0.292814,0.704915,3.60381,984.8,4.973737373737373,892,4.505050505050505,3.78079,3.70117,0,999,24,NL,Travis Sykora,805809,sa3023557,sa3023557
LAD,Dodgers,12.3238,0,33,33,0,0,,198,797.038,161.975,86.3096,79.0224,25.7974,223.374,62.1193,2.42258,8.67358,3.59193,1.13179,10.1534,2.8236,3.5959,1.17261,0.280256,0.0779377,0.2023181915283203,,0.223031,0.285444,0.732984,3.64522,957.2,4.834343434343435,885,4.46969696969697,3.7774,3.80988,0,110.3499984741211,22,NL,Emmet Sheehan,686218,29839,29839
NYY,Yankees,12.2564,0,33,33,0,0,,198,788.486,165.709,85.3782,78.1697,24.0692,202.934,55.4952,2.39659,8.3841,3.55317,1.11719,9.22425,2.52251,3.65678,1.09405,0.257371,0.0703819,0.1869892105460167,,0.228688,0.284643,0.724377,3.63347,955.4,4.825252525252525,895,4.52020202020202,3.77303,3.91911,0,238.72000122070312,9,AL,Gerrit Cole,543037,13125,13125
TOR,Blue Jays,13.2805,0,33,33,0,0,,198,840.41,162.042,82.4876,75.5231,23.7547,237.286,78.8007,2.55441,9.5841,3.43287,1.21638,10.7857,3.58185,3.01121,1.07976,0.282345,0.0937647,0.1885804906487465,,0.215474,0.281653,0.762841,3.63713,955.8,4.827272727272727,885,4.46969696969697,3.76548,4.25,0,74.19000244140625,14,AL,Dylan Cease,656302,18525,18525
NYM,Mets,12.5753,0,33,33,0,0,,198,813.631,163.385,86.3817,79.0884,20.9389,219.494,79.3083,2.47302,9.37824,3.59493,1.22572,9.97702,3.60492,2.76761,0.951766,0.269771,0.0974746,0.17229684442281723,,0.225376,0.293999,0.732554,3.63653,957.1000000000001,4.833838383838384,891,4.5,3.67886,3.80988,0,702.5599975585938,25,NL,Jonah Tong,804636,32157,32157
CHW,White Sox,12.2213,0,33,33,0,0,,198,809.038,173.611,90.4021,82.7694,20.4079,204.6,71.555,2.45905,9.08443,3.76225,1.23821,9.30001,3.2525,2.85934,0.927634,0.252893,0.0884445,0.1644488126039505,,0.238346,0.304343,0.714532,3.63019,933.8000000000001,4.716161616161616,897,4.53030303030303,3.66136,3.37813,0,499.1400146484375,4,AL,Grant Taylor,691799,33927,33927
