Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ATL,Braves,156,606,672,165,98,32,2,33,91,103,52,3,171,9,5,0,,3,2,0.271965,0.336366,0.495376,0.831742,0.354975,0.077981,0.253942,0.307082,0.223411,3.25164,0.323206,-0.0974533,,102.274,22.8716,-1.53516,-1.10335,-1.20081,4.51694,21.326000809669495,0.46484267711639404,128.284,915.5,5.868589743,915.5,5.868589743,61.849998474121094,0,3B,/players/austin-riley/18360/stats/batting,16,NL,Austin Riley,663586,18360,18360
ARI,Diamondbacks,147,559,637,150,91,31,2,25,86,84,67,3,108,7,4,0,,6,2,0.267782,0.350479,0.466607,0.817086,0.352137,0.105049,0.169961,0.618077,0.198825,3.92245,0.28927,-0.104872,,95.479,20.2125,2.34209,-0.572785,-0.677657,4.34119,18.820450961589813,2.4170923233032227,125.826,845.1,5.748979591,845.1,5.748979591,32.060001373291016,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
LAA,Angels,154,594,665,152,91,32,1,28,83,89,48,2,159,18,5,1,,30,10,0.255858,0.32764,0.45482,0.78246,0.337528,0.0723349,0.238401,0.303418,0.198962,5.29848,0.300818,0.594999,,91.7885,13.2136,-3.04153,1.05138,1.64638,4.20112,14.089976906776428,4.083467483520508,115.876,845.9,5.492857142,845.9,5.492857142,30.649999618530273,0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
BAL,Orioles,141,493,566,127,82,27,1,17,72,69,65,2,89,3,4,1,,1,1,0.257018,0.344991,0.419972,0.764963,0.334374,0.114732,0.157991,0.726193,0.162954,2.65501,0.280497,-0.479385,,76.7283,9.80379,6.09656,-1.0688,-1.54819,4.19651,9.350499153137207,12.171557903289795,116.326,665.1,4.717021276,665.1,4.717021276,151.0500030517578,0.1978022,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
LAD,Dodgers,151,574,651,150,96,30,2,22,87,83,67,2,85,6,5,0,,11,3,0.261543,0.342248,0.437428,0.779676,0.338515,0.103233,0.130894,0.788677,0.175885,4.55499,0.271469,-0.284728,,90.3777,13.457,-1.53386,-0.0559728,-0.3407,4.15783,13.538425147533417,5.4411362409591675,117.988,802.7,5.315894039,802.7,5.315894039,59.0099983215332,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
DET,Tigers,151,583,651,157,94,29,4,30,92,91,59,3,175,5,5,0,,5,2,0.269507,0.339059,0.486412,0.82547,0.352827,0.0904311,0.269229,0.335889,0.216905,4.57614,0.333368,0.00652152,,97.9423,21.0216,3.69689,-0.686877,-0.680355,4.00321,20.299062311649323,-3.5781121253967285,127.343,881,5.834437086,881,5.834437086,77.9000015258789,0.1402439,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
ARI,Diamondbacks,159,591,686,152,105,31,4,13,88,67,80,2,94,8,5,2,,21,6,0.25762,0.351851,0.386813,0.738663,0.327092,0.117157,0.137743,0.85055,0.129193,5.35812,0.285548,0.446554,,88.8742,7.81804,0.950782,0.456428,0.902981,3.99795,7.951652228832245,8.300781965255737,108.669,782.2,4.919496855,782.2,4.919496855,76.68000030517578,0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
PHI,Phillies,154,576,665,155,90,35,0,31,89,99,79,3,144,5,5,0,,11,4,0.269885,0.360599,0.492447,0.853046,0.36597,0.119003,0.216631,0.549335,0.222562,3.43605,0.306942,0.212808,,107.145,28.5697,1.62884,-0.425502,-0.212694,3.97957,27.11762872338295,-10.346160650253296,134.676,946.6,6.146753246,946.6,6.146753246,47.7400016784668,0.01515152,OF,/players/bryce-harper/11579/stats/batting,26,NL,Bryce Harper,547180,11579,11579
NYY,Yankees,139,534,602,132,80,22,2,28,78,82,58,2,155,5,4,0,,33,9,0.24637,0.324264,0.452311,0.776575,0.334628,0.0970526,0.257962,0.376228,0.205941,5.9409,0.291733,0.919154,,81.675,10.544,1.5937,2.00849,2.92764,3.9569,14.41106104850769,3.5436993837356567,116.185,770.1,5.540287769,770.1,5.540287769,19.75,0,2B/OF,/players/jazz-chisholm-jr/20454/stats/batting,9,AL,Jazz Chisholm Jr.,665862,20454,20454
SFG,Giants,133,473,525,106,73,22,1,11,53,49,42,0,136,3,4,3,,2,1,0.224807,0.290402,0.343076,0.633478,0.280344,0.0804693,0.258233,0.311615,0.118269,3.12064,0.289731,-0.495961,,48.0712,-13.9379,24.2909,-0.537726,-1.03369,3.9433,-13.459351062774658,34.54086494445801,80.0229,429.5,3.229323308,429.5,3.229323308,747.1199951171875,0,C,/players/patrick-bailey/27478/stats/batting,30,NL,Patrick Bailey,672275,27478,27478
MIN,Twins,130,504,560,129,69,26,4,30,80,83,43,2,151,9,4,0,,18,3,0.255893,0.323511,0.499348,0.822859,0.349864,0.0775919,0.268983,0.288464,0.243455,6.46635,0.303316,0.925362,,82.904,16.7357,0.593754,1.77096,2.69633,3.942,19.06096911430359,0.19375383853912354,124.794,780.4,6.003076923,780.4,6.003076923,72.62000274658203,0.06349206,OF,/players/byron-buxton/14161/stats/batting,8,AL,Byron Buxton,621439,14161,14161
PHI,Phillies,149,591,644,162,111,30,3,18,82,73,41,2,120,5,5,2,,29,5,0.274887,0.32525,0.426139,0.751389,0.325131,0.0635939,0.186831,0.340383,0.151252,6.08686,0.316608,1.72775,,82.4077,6.3141,0.357028,2.67539,4.40314,3.90834,9.516963481903076,7.2570284605026245,106.7,768.6,5.158389261,768.6,5.158389261,26.3799991607666,0.00714286,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
SFG,Giants,157,600,679,143,86,30,1,26,80,86,71,2,168,4,5,0,,13,4,0.23821,0.320061,0.421067,0.741128,0.322024,0.104166,0.248108,0.419841,0.182856,3.80162,0.284777,0.112375,,85.1736,4.9445,1.59984,-0.340983,-0.228607,3.90198,6.672507092356682,8.874836444854736,108.575,776.4,4.945222929,776.4,4.945222929,131.00999450683594,0.00628931,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
KCR,Royals,154,598,665,161,111,33,4,13,83,70,57,1,97,1,5,4,,28,7,0.269824,0.332533,0.402134,0.734667,0.320885,0.0862037,0.145603,0.592048,0.13231,6.05904,0.30168,0.737065,,82.8026,4.22773,8.01373,1.56331,2.30038,3.85657,4.3170881271362305,10.488734722137451,102.573,751.9,4.882467532,751.9,4.882467532,65.11000061035156,0.03389831,3B,/players/maikel-garcia/22715/stats/batting,7,AL,Maikel Garcia,672580,22715,22715
SFG,Giants,159,592,686,149,88,30,1,29,89,91,82,3,166,7,5,0,,3,1,0.251344,0.346696,0.455619,0.802315,0.346956,0.119847,0.241606,0.496043,0.204275,2.90764,0.297098,-0.766397,,99.9377,18.8815,8.71955,-1.01187,-1.77827,3.82372,19.07999098300934,-4.530445098876953,125.654,877.6,5.519496855,877.6,5.519496855,60.150001525878906,0.81595092,3B,/players/rafael-devers/17350/stats/batting,30,NL,Rafael Devers,646240,17350,17350
SDP,Padres,149,585,644,154,98,28,0,28,76,89,52,2,127,2,5,0,,11,3,0.263759,0.32415,0.455686,0.779836,0.335185,0.0806414,0.19652,0.410347,0.191927,3.41679,0.290309,-0.576058,,87.6644,11.5709,2.47262,-0.113201,-0.689259,3.82269,13.764189064502716,2.1726237535476685,118.936,796.3,5.344295302,796.3,5.344295302,37.41999816894531,0.08805031,3B,/players/manny-machado/11493/stats/batting,29,NL,Manny Machado,592518,11493,11493
HOU,Astros,141,553,609,150,102,29,2,17,76,71,39,2,108,11,4,2,,18,5,0.271272,0.329104,0.424061,0.753165,0.326913,0.0638372,0.177933,0.35877,0.152789,5.16562,0.307723,0.804537,,78.8102,6.85214,0.675249,0.483916,1.28845,3.77074,8.69404935836792,7.200249433517456,110.317,712.5,5.053191489,712.5,5.053191489,118.41999816894531,0.01587302,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
NYY,Yankees,128,476,546,118,68,22,1,27,73,79,57,2,114,9,4,0,,5,2,0.248243,0.336773,0.468646,0.805419,0.346629,0.104479,0.208405,0.501328,0.220403,3.65486,0.269378,-0.316959,,79.3682,14.8777,10.4821,-0.524803,-0.841762,3.74263,14.887678027153015,2.9071407318115234,124.452,710,5.546875,710,5.546875,53.099998474121094,0.35820896,1B/DH,/players/ben-rice/29576/stats/batting,9,AL,Ben Rice,700250,29576,29576
ARI,Diamondbacks,112,393,443,108,74,22,1,11,53,50,42,1,75,4,3,2,,4,2,0.275212,0.34808,0.420882,0.768962,0.335661,0.0942308,0.169198,0.556925,0.145671,3.41881,0.313171,0.398672,,60.5292,8.13803,6.70264,-0.724853,-0.326181,3.73382,7.3145628571510315,14.427644729614258,114.539,524.7,4.684821428,524.7,4.684821428,180.82000732421875,0.09638554,C,/players/gabriel-moreno/22664/stats/batting,15,NL,Gabriel Moreno,672515,22664,22664
CLE,Guardians,154,592,665,161,120,29,3,8,81,57,62,1,62,5,5,2,,19,5,0.272094,0.343617,0.373946,0.717563,0.317304,0.0934155,0.0926173,1.00862,0.101852,5.31856,0.290167,0.768815,,80.8687,2.2938,8.60555,0.540799,1.30961,3.71947,4.685263633728027,8.780547976493835,104.307,709.1,4.604545454,709.1,4.604545454,169.82000732421875,0.02547771,OF,/players/steven-kwan/24610/stats/batting,5,AL,Steven Kwan,680757,24610,24610
SDP,Padres,146,580,630,154,96,30,4,24,82,83,41,2,120,3,4,2,,7,3,0.264897,0.314252,0.453114,0.767367,0.328649,0.0644558,0.190222,0.338845,0.188217,4.6693,0.294521,1.33471,,82.4154,7.97604,1.65977,-0.756073,0.578642,3.68782,11.374593734741211,3.709772229194641,114.459,754.7,5.169178082,754.7,5.169178082,70.1500015258789,0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
STL,Cardinals,149,585,644,150,101,31,4,14,76,68,46,1,117,5,5,3,,14,4,0.255506,0.313182,0.392495,0.705676,0.307912,0.0720129,0.181876,0.395945,0.136989,5.08491,0.295413,1.20858,,73.4044,-2.68915,7.31908,0.0667915,1.27538,3.673,0.2546950578689575,14.21908187866211,98.6628,667.7,4.481208053,667.7,4.481208053,340.8500061035156,0,SS,/players/masyn-winn/27479/stats/batting,28,NL,Masyn Winn,691026,27479,27479
SFG,Giants,156,586,672,137,81,30,2,24,82,83,74,2,170,8,5,0,,11,4,0.233884,0.325251,0.414699,0.739951,0.322878,0.11007,0.252284,0.436294,0.180815,4.33429,0.284865,-0.0984852,,84.7615,5.35948,4.37748,-0.48684,-0.585325,3.66746,6.710592567920685,6.777478218078613,109.16,760.9,4.877564102,760.9,4.877564102,164.55999755859375,0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
NYM,Mets,152,601,658,168,113,33,2,21,83,84,46,2,113,4,5,2,,7,3,0.279543,0.332088,0.442486,0.774574,0.334104,0.0691525,0.172229,0.401515,0.162944,3.74574,0.312451,0.339467,,88.9928,11.245,-0.112707,-0.788686,-0.449218,3.66063,13.399753868579865,0.4872933328151703,117.758,799.2,5.257894736,799.2,5.257894736,94.25,0.05035971,SS,/players/bo-bichette/19612/stats/batting,25,NL,Bo Bichette,666182,19612,19612
CHC,Cubs,159,620,686,149,96,27,2,24,78,81,56,1,173,4,5,2,,18,4,0.240538,0.305557,0.40705,0.712607,0.309556,0.082173,0.251532,0.32669,0.166512,4.90033,0.291856,1.07305,,79.1072,-1.94898,3.89821,0.855426,1.92847,3.6361,1.4675502479076385,11.248206377029419,99.4331,732.7,4.6081761,732.7,4.6081761,150.61000061035156,0,SS,/players/dansby-swanson/18314/stats/batting,17,NL,Dansby Swanson,621020,18314,18314
