Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,9,6,29,29,0,0,,160,645,133,66,61,21,175,39,,5,3.42483,1.07299,9.82533,2.18964,4.48718,1.17904,0.271318,0.0604651,0.2108527235686779,,0.221298,0.276543,0.743338,3.47824,797.9000000000001,4.986875,745,4.65625,2.97826,2.84452,36.91999816894531,11,AL,Logan Gilbert,669302,22250,22250
MIA,Marlins,12,11,31,31,0,0,,189,785,175,91,84,20,154,52,,7,3.99375,1.2,7.3125,2.475,2.95455,0.95625,0.196078,0.066365,0.12971341609954834,,0.241436,0.281116,0.68371,3.82889,828.6000000000001,4.3841269841269845,816,4.317460317460317,2.93954,2.92014,145.35000610351562,20,NL,Sandy Alcantara,645261,18684,18684
SDP,Padres,11,8,29,29,0,0,,156,660,135,67,62,18,167,59,,8,3.55462,1.2437,9.60504,3.40336,2.82222,1.05882,0.252988,0.0896414,0.16334663331508636,,0.228381,0.287097,0.755452,3.81581,715,4.583333333333333,679,4.352564102564102,2.88498,2.88379,128.80999755859375,29,NL,Michael King,650633,19853,19853
KCR,Royals,11,7,24,34,0,1,,140,596,130,60,56,13,139,46,,4,3.56604,1.25472,8.91509,2.9717,3,0.849057,0.233333,0.0777778,0.15555554628372192,,0.237864,0.296296,0.739496,3.45589,670.1,4.786428571428572,663,4.735714285714286,2.79686,2.77637,193.38999938964844,7,AL,Kris Bubic,663460,21455,21455
CLE,Guardians,12,10,31,31,0,0,,181,754,165,81,75,23,168,53,,8,3.70909,1.2,8.34546,2.61818,3.1875,1.14545,0.223032,0.0699708,0.15306124091148376,,0.237718,0.282276,0.735469,3.93514,780.5,4.3121546961325965,759,4.193370165745856,2.79642,2.99209,187.3000030517578,5,AL,Tanner Bibee,676440,30134,30134
MIL,Brewers,10,7,28,28,0,0,,134,548,116,58,54,18,143,36,,6,3.6074,1.13052,9.61973,2.40493,4,1.20247,0.261306,0.0653266,0.19597987085580826,,0.228261,0.282869,0.740741,3.65929,628.5999999999999,4.691044776119402,596,4.447761194029851,2.79327,2.6196,140.5,23,NL,Brandon Woodruff,605540,16162,16162
LAA,Angels,11,10,31,31,0,0,,175,755,156,85,79,15,163,77,,12,4.04779,1.33521,8.41181,3.98454,2.11111,0.75896,0.21626,0.102439,0.1138211265206337,,0.234317,0.289673,0.698614,3.90112,763.9,4.365142857142857,739,4.222857142857142,2.68576,2.38805,326.82000732421875,1,AL,José Soriano,667755,22100,22100
CHC,Cubs,11,8,29,29,0,0,,160,666,148,74,68,19,141,45,,7,3.83916,1.2028,7.93007,2.51748,3.15,1.06993,0.212121,0.0673401,0.14478113502264023,,0.240876,0.283951,0.71525,3.88339,691.5,4.321875,679,4.24375,2.57917,2.53948,214.4499969482422,17,NL,Matthew Boyd,571510,15440,15440
NYM,Mets,12,9,29,29,0,0,,156,649,129,73,67,20,169,59,,7,3.86434,1.20722,9.74487,3.4163,2.85246,1.1761,0.260479,0.0913174,0.16916166990995407,,0.221667,0.276543,0.722965,3.93787,713.0000000000001,4.570512820512821,660,4.230769230769231,2.54636,2.26394,56.54999923706055,25,NL,Freddy Peralta,642547,18679,18679
TEX,Rangers,10,10,29,29,0,0,,172,706,156,81,75,23,156,45,,6,3.90566,1.16981,8.15094,2.37736,3.42857,1.18868,0.220183,0.0642202,0.15596330910921097,,0.237624,0.278912,0.708812,3.94646,743.3000000000001,4.321511627906977,720,4.186046511627907,2.54586,2.39143,134.66000366210938,13,AL,Nathan Eovaldi,543135,9132,9132
TBR,Rays,9,7,31,31,0,0,,149,599,131,63,59,17,127,38,,4,3.55523,1.13387,7.63716,2.30432,3.31429,1.0534,0.211293,0.0637523,0.14754099398851395,,0.235294,0.275132,0.731523,3.81546,680.9000000000001,4.569798657718121,652,4.375838926174497,2.54174,3.00352,134.67999267578125,12,AL,Drew Rasmussen,656876,25385,25385
LAD,Dodgers,9,6,24,24,0,0,,123,514,96,52,49,14,155,56,,2,3.55597,1.23236,11.3452,4.06397,2.79167,1.01599,0.301802,0.108108,0.19369369000196457,,0.21066,0.28629,0.753065,3.49262,624.4,5.076422764227642,569,4.626016260162602,2.52591,2.55519,165.0800018310547,22,NL,Blake Snell,605483,13543,13543
TBR,Rays,6,6,23,35,0,1,,134,572,135,61,57,16,125,35,,4,3.83562,1.26332,8.35616,2.32877,3.58824,1.09589,0.217857,0.0607143,0.15714286640286446,,0.252874,0.302083,0.738162,3.72874,580.8,4.334328358208955,599,4.470149253731344,2.51572,2.01579,734.9500122070312,12,AL,Steven Matz,571927,13361,13361
SDP,Padres,10,10,29,29,0,0,,173,701,145,80,74,28,188,51,,4,3.86538,1.13462,9.80769,2.65385,3.69565,1.44231,0.268562,0.0726698,0.1958925873041153,,0.2247,0.273196,0.739437,4.00052,769.8000000000002,4.449710982658961,712,4.115606936416185,2.47824,2.57444,95.66000366210938,29,NL,Nick Pivetta,601713,15454,15454
DET,Tigers,11,10,29,29,0,0,,157,672,141,78,72,21,175,59,,8,4.14013,1.27389,10,3.3758,2.96226,1.21019,0.260365,0.0878939,0.17247097194194794,,0.233886,0.294278,0.71708,3.93485,685.9,4.368789808917198,661,4.210191082802548,2.43155,1.8895,211.57000732421875,6,AL,Jack Flaherty,656427,17479,17479
LAA,Angels,9,9,24,36,0,1,,143,603,125,70,65,18,162,49,,8,4.1161,1.21372,10.2111,3.08707,3.30769,1.10818,0.269311,0.0814196,0.18789144605398178,,0.228111,0.292096,0.692568,3.65405,668.8000000000001,4.676923076923077,638,4.461538461538462,2.41023,1.64408,332.9800109863281,1,AL,Reid Detmers,672282,27468,27468
PIT,Pirates,9,9,23,45,0,1,,153,650,147,66,61,16,140,43,,7,3.60671,1.23952,8.21994,2.51631,3.26667,0.922647,0.214912,0.0657895,0.14912281185388565,,0.244656,0.294872,0.739796,3.61976,687.2,4.491503267973856,691,4.516339869281046,2.40547,2.87024,243.8300018310547,27,NL,Braxton Ashcraft,677952,23793,23793
