Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TBR,Rays,149.182,584.427,636.417,157.487,92.9179,26.8513,1.0072,36.7111,84.1534,103.388,43.2649,1.93113,124.313,3.81454,4.70419,0.206591,15.2337,6.01499,1.62714,0.269473,0.321539,0.507311,0.828851,0.352108,0.0679819,0.195333,0.348031,0.237838,3.58066,0.282117,-0.146925,,95.3765,20.1789,-2.58685,-0.37481,-0.521735,4.10785,19.47716063261032,-0.8662598133087158,126.588,873.8,5.86442953,873.8,5.86442953,2.47128,-0.0412328,1.19704,2.47128,0.0412328,3.40394,16.65999984741211,0.03870968,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
LAA,Angels,148.048,566.677,633.958,142.394,83.9592,30.4626,1.23506,26.7366,86.1707,75.2461,44.3494,3.3461,155.406,16.5115,3.56907,2.85121,7.80782,26.8492,8.15249,0.251278,0.32206,0.450938,0.772999,0.332821,0.0699565,0.245136,0.285378,0.19966,5.60205,0.298006,0.512914,,85.081,10.174,0.422778,1.09729,1.61021,4.10752,11.050181984901428,7.276834815740585,112.634,786.6,5.314864864,786.6,5.314864864,1.58488,-0.330467,0.723791,1.58488,0.330467,4.03495,30.649999618530273,0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
CIN,Reds,148.586,571.745,640.106,147.573,89.2929,30.0369,5.49006,22.7534,92.3235,77.4957,61.162,5.52798,171.56,3.43922,2.76276,0.997114,8.869,40.6919,10.0992,0.25811,0.331985,0.44924,0.781225,0.335249,0.0955499,0.268018,0.356505,0.19113,7.30501,0.328306,1.14937,,87.1678,11.5343,-0.609799,3.0231,4.17246,4.02703,12.033266067504883,6.03034234046936,110.361,830.4,5.573154362,830.4,5.573154362,1.60139,-0.81879,1.27932,1.60139,0.81879,3.29423,8.529999732971191,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
ARI,Diamondbacks,150.364,549.064,648.084,144.258,100.225,27.6535,3.75494,12.6243,88.2454,64.7894,75.8225,1.01463,86.5218,7.57952,6.27258,9.34514,10.2231,20.5995,5.37343,0.262734,0.356421,0.395753,0.752174,0.332327,0.116995,0.133504,0.876339,0.13302,5.82962,0.288549,0.237161,,86.7166,10.1405,0.205044,0.713841,0.951002,3.99969,10.364623486995697,7.1663327515125275,112.256,761.5,5.076666666,761.5,5.076666666,2.87685,-0.097048,0.939608,2.87685,0.097048,3.74719,76.68000030517578,0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
HOU,Astros,129.437,469.306,552.026,136.8,79.3462,27.3512,1.06933,29.0329,76.8098,85.1774,69.2448,9.828,93.1565,6.78202,6.50021,0.192606,7.76335,3.44884,1.22452,0.291494,0.385672,0.539921,0.925593,0.389457,0.125438,0.168754,0.743317,0.248428,2.98869,0.304756,-0.727463,,99.4689,34.2428,-1.94273,-0.772537,-1.5,3.94071,33.24445724487305,-13.727854490280151,153.402,885.7,6.865891472,885.7,6.865891472,3.59022,0.318783,1.13026,3.59022,-0.318783,3.49299,33.08000183105469,0.68085106,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
SDP,Padres,142.912,555.685,606.458,149.684,92.6622,30.7003,4.10645,22.2146,77.3093,81.5899,39.8069,1.75225,118.693,3.56864,5.13312,2.26421,7.28718,7.87709,2.49169,0.269368,0.319532,0.459327,0.778859,0.333407,0.0656383,0.195715,0.335378,0.189959,4.80966,0.303562,0.861073,,81.6789,10.0212,4.28688,-0.331483,0.52959,3.8061,10.379282712936401,6.296275615692139,113.742,745.1,5.21048951,745.1,5.21048951,1.25694,0.981488,0.576621,1.25694,-0.981488,4.23117,70.1500015258789,0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
TEX,Rangers,142.514,531.718,613.328,133.287,78.9118,27.8224,2.14018,24.4122,84.2529,74.3731,71.643,2.84255,143.598,5.41489,4.0018,0.550202,7.28089,22.8989,5.42309,0.250672,0.343264,0.448783,0.792047,0.342787,0.11681,0.23413,0.498913,0.198111,5.6553,0.296088,-0.0947907,,87.275,14.8056,1.03452,1.34803,1.25324,3.70423,17.216249704360962,-2.120976448059082,122.083,791.7,5.536363636,791.7,5.536363636,2.7349,-0.559405,0.580256,2.7349,0.559405,4.22633,39.849998474121094,0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
CHC,Cubs,146.989,561.543,618.554,138.012,81.7371,28.274,4.95612,23.0444,84.1802,78.3653,34.6261,1.81429,149.562,8.32862,5.80545,8.25001,4.13112,33.4092,7.68319,0.245772,0.296518,0.436887,0.733405,0.313941,0.0559791,0.241794,0.231516,0.191115,7.32958,0.291246,0.242448,,73.5319,0.444973,9.04349,2.72425,2.9667,3.63036,3.236708849668503,11.311836004257202,100.369,706,4.802721088,706,4.802721088,2.71554,-0.375735,1.10895,2.71554,0.375735,3.5214,32.709999084472656,0.00636943,OF,/players/pete-crow-armstrong/27769/stats/batting,17,NL,Pete Crow-Armstrong,691718,27769,27769
HOU,Astros,136.895,539.222,589.918,147.326,101.913,27.152,1.85557,16.4056,76.0736,65.1641,34.4994,1.07374,105.108,10.6874,3.63121,1.87863,11.1974,17.0886,4.23331,0.273221,0.327381,0.421731,0.749112,0.325604,0.0584816,0.178174,0.328228,0.14851,5.34372,0.310726,0.271543,,75.7139,6.0105,0.61287,0.720089,0.991632,3.55975,7.538248360157013,6.950612545013428,109.416,680.4,4.966423357,680.4,4.966423357,3.07593,0.350344,0.691333,3.07593,-0.350344,4.07822,118.41999816894531,0.01587302,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
ATH,Athletics,128.197,477.825,525.258,121.13,65.9987,24.6866,1.25396,29.1905,69.331,76.0985,38.934,1.13833,119.037,3.76365,4.12697,0.608032,7.80045,5.48684,1.50585,0.253502,0.312261,0.493686,0.805947,0.342794,0.0741237,0.226625,0.327076,0.240184,3.80564,0.275494,-0.128996,,74.7456,12.6823,-2.62278,-0.229368,-0.358364,3.53833,12.175378322601318,4.631170272827148,120.189,683.3,5.33828125,683.3,5.33828125,1.79881,0.479021,0.714852,1.79881,-0.479021,4.04686,54.72999954223633,0.12903226,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
