Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Scott Effross","DET",0.500605,0.472361,0,4.87009,13.324,0,0,0.6028,,13.8786,60.5136,14.749,8.09,7.51,1.75295,4.42214,0.507815,0.811971,9.10255,5.90283,2.86767,2.0584,1.13675,0.150422,0.0730768,0.07734483480453491,0.266808,1.38135,0.292546,0.662867,,,4.59678,-0.00262704,-0.0694943,999,,,,,,,47,3.357142857142857,51,3.642857142857143,,,,,,,,,,,,,,,,,,,"Scott Effross","18384",664123
"Tyson Miller","CHW",0.231686,0.232276,0,4.90512,5.707,0,0,0.5969,,5.9815,26.1198,5.6909,3.5,3.26,0.943469,2.49971,0.119972,0.36967,5.23604,7.87835,3.76116,2.09466,1.41958,0.200462,0.0957016,0.10476081818342209,0.244765,1.36932,0.278101,0.682792,,,4.87402,-0.00533709,-0.0872269,999,,,,,,,24.500000000000007,4.083333333333335,25,4.166666666666667,,,,,,,,,,,,,,,,,,,"Tyson Miller","19976",668338
"Lou Trivino","PHI",0.748226,0.593223,0,4.76171,18.987,0.021,0,0.6364,,19.6757,86.2927,19.1757,11.16,10.41,2.49898,8.28143,0.389744,1.51406,15.4177,7.05234,3.78807,1.86172,1.14308,0.178668,0.095969,0.08269890397787094,0.250672,1.39548,0.28468,0.680222,,,4.7126,-0.00859206,-0.0558626,999,,,,,,,78,3.9,78,3.9,,,,,,,,,,,,,,,,,,,"Lou Trivino","15043",642152
"Josh Fleming","TOR",0.255293,0.157638,0,4.36702,5.557,0,0,0,,9.6038,41.5167,10.0874,5.02,4.66,1.04349,3.18769,0.378772,0.398545,5.60611,5.25365,2.98727,1.75868,0.977887,0.135033,0.0767809,0.05825196951627731,0.265945,1.38228,0.289121,0.698743,,,4.50041,-0.00900256,0.0230334,999,,,,,,,38.7,3.87,40,4,,,,,,,,,,,,,,,,,,,"Josh Fleming","20418",676596
"Hogan Harris","ATH",2.23364,2.09453,0,4.81183,53.527,0.239,11,11.2847,,62.4898,276.224,59.1067,35.67,33.41,8.57972,30.1947,1.81307,3.92791,61.0519,8.79291,4.34875,2.02194,1.23568,0.221023,0.109313,0.11171063780784607,0.24414,1.42906,0.292961,0.6939,,,4.60418,-0.00913138,-0.3653,649.27001953125,,,,,,,313.69999999999993,5.059677419354838,312,5.032258064516129,,,,,,,,,,,,,,,,,,,"Hogan Harris","21520",663687
"Beau Brieske","DET",1.55536,1.51968,0,4.65289,39.293,0.4,0,4.0186,,42.6122,184.653,39.8536,23.62,22.03,6.15712,18.0543,1.09348,1.26214,34.534,7.29382,3.81319,1.91279,1.30043,0.187021,0.0977738,0.08924676477909088,0.241045,1.35895,0.270338,0.695665,,,4.7526,-0.00957059,-0.15556,999,,,,,,,169.39999999999998,3.93953488372093,166,3.86046511627907,,,,,,,,,,,,,,,,,,,"Beau Brieske","26079",689225
"Alek Jacob","SDP",1.1058,0.932557,0,4.76971,26.033,0,0,0.6518,,28.9829,125.661,26.8664,16.46,15.36,4.89201,10.6334,0.995857,2.80762,26.379,8.19141,3.30198,2.48076,1.51911,0.209921,0.0846197,0.12530142068862915,0.239408,1.29386,0.271459,0.686432,,,4.90036,-0.00987744,-0.0860406,999,,,,,,,96.90000000000002,3.3413793103448284,94,3.2413793103448274,,,,,,,,,,,,,,,,,,,"Alek Jacob","29628",689690
"Jairo Iriarte","CHW",0.465321,0.447918,0,4.71794,11.381,0,0,0,,12.3041,54.2763,11.1043,6.91,6.45,1.67651,6.30946,0.351623,0.88897,11.7754,8.61326,4.61514,1.86631,1.22631,0.216952,0.116247,0.10070536285638809,0.235871,1.41528,0.280372,0.697153,,,4.74754,-0.0106788,-0.0739929,999,,,,,,,38.600000000000016,3.216666666666668,37,3.0833333333333335,,,,,,,,,,,,,,,,,,,"Jairo Iriarte","26907",683568
"Josh Staumont","CIN",0.361394,0.334911,0,4.95223,9.587,0,0,0.6526,,9.9955,44.2701,9.30836,5.85,5.5,1.38746,5.16472,0.180573,0.573951,9.4559,8.51414,4.65034,1.83086,1.24927,0.213596,0.116664,0.09693174064159393,0.241578,1.44796,0.286076,0.68816,,,4.76999,-0.0114182,-0.0785266,999,,,,,,,42.300000000000004,4.23,41,4.1,,,,,,,,,,,,,,,,,,,"Josh Staumont","18335",622251
"Chris Devenski","PIT",0.582602,0.505917,0,5.14416,13.109,0.076,0,0.6566,,14.2414,62.0663,14.3469,8.68,8.14,2.13988,4.95923,0.262484,0.891126,10.6088,6.70435,3.13404,2.13921,1.35232,0.170927,0.0799021,0.09102491289377213,0.25521,1.35563,0.280832,0.651498,,,4.83103,-0.0121006,-0.170048,999,,,,,,,50.6,3.6142857142857143,52,3.7142857142857144,,,,,,,,,,,,,,,,,,,"Chris Devenski","12763",606965
