Team,ShortName,ProjTeam,ProjAbbName,ProjShortName,ProjLeague,ProjTeamid,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wOBA,wRAA,wRC,wRC+,WAR,FPTS,FPTS_G,SPTS,SPTS_G,woba_sd,truetalent_sd,woba_sd_book,woba_se,total_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
STL,Cardinals,SLN,STL,Cardinals,NL,28,31.75,117.87850189208984,136.9161834716797,33.08649826049805,21.83639907836914,6.021100044250488,0.21529999375343323,5.013700008392334,17.653600692749023,18.087499618530273,16.265600204467773,0.4106999933719635,25.284900665283203,1.6430000066757202,0.9225999712944031,0.20649999380111694,1.6220999956130981,0.7152000069618225,0.2806830569562769,0.11879969038015303,0.18467430236625926,0.6432930237610482,0.3730174062104341,0.4630131729334631,0.8360305791438972,0.18233011597718624,0.31719779525700104,0.3632658890540049,5.581578207183484,21.759280518576347,136.581945784731,,188.02829914391043,5.922151154138911,188.02829914391043,5.922151154138911,,,,,,,,,,,,,,,,,,,,,,,,176.10000610351562,0.8317757,C/DH,/players/ivan-herrera/20599/stats/batting,28,NL,Iván Herrera,671056,20599,20599
TEX,Rangers,TEX,TEX,Rangers,AL,13,33.95000076293945,125.97969818115234,150.87010192871094,32.942501068115234,19.168399810791016,7.065700054168701,0.37369999289512634,6.334799766540527,22.049100875854492,19.08139991760254,22.464599609375,2.5648000240325928,32.70429992675781,0.9052000045776367,1.0490000247955322,0.4715999960899353,4.242599964141846,1.7753000259399414,0.2614905539839094,0.14890027462160768,0.21677124565217853,0.6869004889169037,0.3744206325085829,0.4743629317006614,0.8487835642092443,0.212872377716752,0.3023959848816623,0.36306318450130076,6.125599334076083,23.95206465617612,136.04984977633566,,213.86554442346096,6.2994267928536,213.86554442346096,6.2994267928536,,,,,,,,,,,,,,,,,,,,,,,,38.86000061035156,0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
CHC,Cubs,CHN,CHC,Cubs,NL,17,34.529998779296875,130.11300659179688,150.68856811523438,34.865699768066406,20.267499923706055,7.30649995803833,0.5648000240325928,6.726900100708008,20.44529914855957,21.904699325561523,18.775800704956055,1.5068999528884888,33.56909942626953,0.6028000116348267,1.0389000177383423,0.15809999406337738,1.49590003490448,0.8019000291824341,0.2679647537271232,0.12460003396274791,0.2227713744057785,0.5593179747402766,0.36035419961175297,0.4879028006314232,0.8482570002431762,0.21993804690430002,0.3097079823526458,0.362414121489474,6.038819255970203,23.84383495889879,135.64273408988356,,211.50867520570756,6.12536005453095,211.50867520570756,6.12536005453095,,,,,,,,,,,,,,,,,,,,,,,,108.04000091552734,0.68,DH/OF,/players/seiya-suzuki/30116/stats/batting,17,NL,Seiya Suzuki,673548,30116,30116
MIL,Brewers,MIL,MIL,Brewers,NL,23,35.72999954223633,133.60079956054688,158.22389221191406,36.9452018737793,23.26219940185547,7.8597002029418945,0.17980000376701355,5.643499851226807,20.972900390625,20.37540054321289,22.483600616455078,3.1644999980926514,28.483699798583984,0.791100025177002,1.1359000205993652,0.21240000426769257,1.3517999649047852,0.6158999800682068,0.2765342871846812,0.14209990856717208,0.18002148348389066,0.7893497254725599,0.3811111250865955,0.4647801467371199,0.8458912718237155,0.18824585955243872,0.3111207395317088,0.36216248479605917,6.3084701706440685,25.00384249150427,134.4327048213321,,220.827222058177,6.180442901969192,220.827222058177,6.180442901969192,,,,,,,,,,,,,,,,,,,,,,,,55.9900016784668,0.14473684,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
HOU,Astros,HOU,HOU,Astros,AL,21,27.309999465942383,104.15139770507812,122.30438995361328,26.766300201416016,15.674500465393066,5.11269998550415,0.21580000221729279,5.763299942016602,17.640600204467773,16.369199752807617,15.214699745178223,0.48919999599456787,19.028499603271484,1.7122999429702759,0.8495000004768372,0.3765000104904175,0.29600000381469727,0.14249999821186066,0.25699415265850983,0.12440027501015084,0.15558312837739083,0.7995743260053162,0.3583535911267252,0.4762346094631553,0.8345882005898806,0.2192404568046455,0.2618530907482969,0.3601434507978312,4.675851503681722,19.127057795561207,133.20847697796043,,166.91619192510845,6.111907549953103,166.91619192510845,6.111907549953103,,,,,,,,,,,,,,,,,,,,,,,,240.58999633789062,0.12745098,3B,/players/isaac-paredes/20036/stats/batting,21,AL,Isaac Paredes,670623,20036,20036
BAL,Orioles,BAL,BAL,Orioles,AL,2,42.470001220703125,160.8491973876953,186.31646728515625,41.04169845581055,22.069000244140625,8.086199760437012,0.21330000460147858,10.673199653625488,26.28499984741211,29.400800704956055,21.743099212646484,4.098999977111816,43.52579879760742,2.23580002784729,1.3320000171661377,0.15629999339580536,0.6620000004768372,0.29330000281333923,0.2551563770435709,0.11669982546077798,0.23361219451950774,0.4995450931010067,0.349272474971755,0.5071464434895671,0.856418918461322,0.25199006644599614,0.2812361583340824,0.35974849478296744,7.063368683075707,29.078095262662913,133.8054558910973,,266.35143775492907,6.271519427814121,266.35143775492907,6.271519427814121,,,,,,,,,,,,,,,,,,,,,,,,24.440000534057617,0.01234568,1B,/players/pete-alonso/19251/stats/batting,2,AL,Pete Alonso,624413,19251,19251
SEA,Mariners,SEA,SEA,Mariners,AL,11,37.5,148.66009521484375,166.7749481201172,41.36640167236328,24.855199813842773,7.508800029754639,0.4860999882221222,8.516300201416016,23.582500457763672,25.21619987487793,15.309900283813477,3.5023000240325928,36.391998291015625,1.3342000246047974,1.2024999856948853,0.26829999685287476,4.909299850463867,1.976099967956543,0.2782616384886644,0.09179976043396366,0.21821022102675053,0.42069413615006546,0.3483974131097989,0.507172422664735,0.8555698357745338,0.22891078417607053,0.3129943461229427,0.35939252770126817,6.274338141970134,25.980083622695705,138.64732005088413,,241.31815679371354,6.435150847832361,241.31815679371354,6.435150847832361,,,,,,,,,,,,,,,,,,,,,,,,9.579999923706055,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
LAD,Dodgers,LAN,LAD,Dodgers,NL,22,45.529998779296875,184.13999938964844,210.61630249023438,47.58409881591797,26.94379997253418,7.9008002281188965,1.3162000179290771,11.423299789428711,33.49020004272461,28.003400802612305,22.62019920349121,1.4743000268936157,54.92900085449219,1.4743000268936157,1.2860000133514404,1.0958000421524048,5.142099857330322,2.0095999240875244,0.25841261525817594,0.10740003948431313,0.26080127798767655,0.411807949382012,0.34210780574613253,0.5017226020772305,0.843830407823363,0.24330998681905458,0.3036841838570343,0.3591167001872161,7.876552831177,32.76249222283453,132.1007953711866,,296.55124039649957,6.51331536014329,296.55124039649957,6.51331536014329,,,,,,,,,,,,,,,,,,,,,,,,1.2400000095367432,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
MIN,Twins,MIN,MIN,Twins,AL,8,29.950000762939453,120.80000305175781,136.86801147460938,31.143999099731445,15.9552001953125,6.70959997177124,0.9085999727249146,7.5706000328063965,20.966899871826172,18.54129981994629,13.330900192260742,2.7374000549316406,34.74209976196289,1.2317999601364136,0.8565999865531921,0.6486999988555908,3.3104000091552734,1.011299967765808,0.25781455557072736,0.09739967760643459,0.25383652021866304,0.38371026171699535,0.3355376087054185,0.5164122401679654,0.8519498488733839,0.25859768459723803,0.2971041013014926,0.35628639527851397,4.804026467263017,20.976036885932988,129.2182235496453,,196.55311254262924,6.5627080980193755,196.55311254262924,6.5627080980193755,,,,,,,,,,,,,,,,,,,,,,,,72.80999755859375,0.06349206,OF,/players/byron-buxton/14161/stats/batting,8,AL,Byron Buxton,621439,14161,14161
CLE,Guardians,CLE,CLE,Guardians,AL,5,39.58000183105469,157.17059326171875,175.1252899169922,45.09579849243164,27.286699295043945,9.49489974975586,0.3874000012874603,7.926799774169922,23.8080997467041,25.962200164794922,15.463600158691406,5.604000091552734,19.75629997253418,1.0507999658584595,1.291599988937378,0.14880000054836273,6.757299900054932,2.461400032043457,0.2869226205524249,0.08830021161433059,0.112812375539241,0.782717420781694,0.3521053726590131,0.503566833035394,0.855672205694407,0.21664421248296906,0.28421208407549103,0.35605158240814994,6.1134586669228925,26.80586138832569,130.99896657030303,,255.11133554875846,6.44546042816493,255.11133554875846,6.44546042816493,,,,,,,,,,,,,,,,,,,,,,,,6.170000076293945,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
