Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Endy Rodríguez","PIT",26,105,94,23,15,5,1,2,12,11,9,0,22,1,1,0,,1,0,0.242777,0.0838973,0.207459,0.404403,0.310499,0.387013,0.305527,0.697513,0.144237,4.11712,0.289948,-0.0157034,-0.203432,11.7424,-0.640539,92.9975,-0.219135,0.255895,-1.088911086320877,1.1558946669101715,0.375799,999,,,,,,,105.7,4.065384615,105.7,4.065384615,,,,,,,,,,,,,,,,,,,"Endy Rodriguez","25332",682848
"Brandon Lockridge","MIL",39,168,151,36,26,7,1,2,19,15,14,0,44,1,1,1,,9,2,0.241855,0.0810759,0.261929,0.309534,0.308859,0.339321,0.288086,0.64818,0.097466,6.79159,0.327374,-0.0148108,0.825692,16.4446,-3.40585,83.6876,0.810881,0.779548,-2.4371551871299744,0.4795483648777008,0.371578,999,,,,,,,151.9,3.894871794,151.9,3.894871794,,,,,,,,,,,,,,,,,,,"Brandon Lockridge","21496",663604
"Dane Myers","CIN",65,280,255,62,45,10,1,7,31,32,20,0,71,4,2,0,,10,3,0.244911,0.0701508,0.253897,0.276296,0.305964,0.374146,0.299179,0.68011,0.129234,4.99327,0.30934,-0.0686636,0.385864,29.9298,-3.15439,85.6526,0.317201,-1.2482,-4.44409117102623,-1.248199075460434,0.370717,999,,,,,,,275.3,4.235384615,275.3,4.235384615,,,,,,,,,,,,,,,,,,,"Dane Myers","22054",667472
"Cody Freeman","TEX",44,189,174,43,29,9,0,5,21,21,11,0,28,1,2,1,,2,1,0.245172,0.0580965,0.150709,0.385489,0.291964,0.380442,0.292104,0.672406,0.13527,4.00173,0.266298,-0.0223589,-0.187071,19.1168,-3.21496,87.1687,-0.20943,-0.510232,-3.0677197128534317,0.16476845741271973,0.368542,999,,,,,,,176.9,4.020454545,176.9,4.020454545,,,,,,,,,,,,,,,,,,,"Cody Freeman","25629",683227
"Starling Marte","KCR",63,273,249,66,48,11,1,6,32,30,17,0,58,5,2,1,,8,2,0.265495,0.061195,0.212662,0.287756,0.322712,0.392784,0.313709,0.715495,0.127289,5.17129,0.321196,-0.125949,0.381611,32.402,0.144911,97.6294,0.255661,-0.0994762,-0.5071101188659668,-5.324476055800915,0.364706,999,,,,,,,290.2,4.606349206,290.2,4.606349206,,,,,,,,,,,,,,,,,,,"Starling Marte","9241",516782
"Jimmy Crooks","STL",24,97,88,21,14,4,0,2,10,10,7,0,26,1,1,0,,0,0,0.238334,0.068616,0.267199,0.256798,0.296714,0.367532,0.291445,0.664246,0.129198,3.35915,0.30925,-0.00601148,-0.111694,9.71919,-1.69484,87.3827,-0.117706,0.357394,-1.562277615070343,1.9323935508728027,0.344542,999,,,,,,,84,3.5,84,3.5,,,,,,,,,,,,,,,,,,,"Jimmy Crooks","31354",699625
"Masataka Yoshida","BOS",40,175,159,44,31,9,0,4,19,21,12,0,23,3,1,0,,2,0,0.278601,0.0686759,0.132171,0.5196,0.33828,0.422109,0.330952,0.760388,0.143508,3.64164,0.300759,-0.139617,-0.0607591,23.2205,2.54288,108.328,-0.200377,-0.00361249,1.5173989981412888,-4.178612678544596,0.343975,747.6699829101562,,,,,,,199.9,4.9975,199.9,4.9975,,,,,,,,,,,,,,,,,,,"Masataka Yoshida","31837",807799
"Jon Berti",,31,133,120,30,23,5,0,2,15,11,10,0,28,1,1,0,,8,2,0.248578,0.0780168,0.211765,0.368412,0.313276,0.33712,0.289715,0.650396,0.0885422,5.9305,0.30912,0.0920572,0.483492,13.1946,-2.52036,83.7273,0.57555,0.165271,-1.9824302792549133,0.7902714908123016,0.338566,999,,,,,,,123.9,3.996774193,123.9,3.996774193,,,,,,,,,,,,,,,,,,,"Jon Berti","12037",542932
"Tyler Austin","CHC",32,140,125,31,18,7,0,6,17,19,13,1,35,1,1,0,,0,0,0.245839,0.0942114,0.251507,0.374587,0.318788,0.446591,0.327426,0.765379,0.200752,2.88726,0.293682,-0.129913,-0.174934,18.1756,1.63353,111.675,-0.304847,0.0308152,1.6323650181293488,-3.1191848777234554,0.324434,999,,,,,,,167.3,5.228125,167.3,5.228125,,,,,,,,,,,,,,,,,,,"Tyler Austin","11850",592122
"Triston Casas","BOS",31,133,115,27,16,6,0,5,15,17,17,1,33,1,1,0,,0,0,0.239923,0.126017,0.251467,0.501127,0.339791,0.434224,0.335132,0.774015,0.194301,2.04085,0.289242,-0.112064,-0.198253,18.0989,2.38395,111.208,-0.310317,-0.213445,1.4465570449829102,-2.8884448260068893,0.320827,744.8400268554688,,,,,,,154.6,4.987096774,154.6,4.987096774,,,,,,,,,,,,,,,,,,,"Triston Casas","22514",671213
