Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
PHI,Phillies,6,3,0,70,29,3,,70,285,53,21,19,4,85,23,,3,2.41961,1.08784,10.8968,3.00141,3.63057,0.545336,0.29738,0.0819099,0.21546965092420578,,0.20426,0.28647,0.79182,2.63631,580,8.285714285714286,547,7.814285714285714,2.10808,2.5865,0,41.790000915527344,26,NL,Jhoan Duran,661395,21029,21029
SDP,Padres,5,3,0,66,32,2,,66,259,38,16,15,6,101,26,,3,2.05714,0.973256,13.7537,3.60686,3.81319,0.754428,0.389421,0.102125,0.2872966229915619,,0.164621,0.261931,0.845434,2.50829,598.8000000000002,9.072727272727276,535,8.106060606060606,2.101,2.88166,0,28.479999542236328,29,NL,Mason Miller,695243,31757,31757
CHW,White Sox,8,10,29,29,0,0,,161,679,151,86,79,21,146,63,,8,4.3916,1.33331,8.1859,3.52927,2.31943,1.15907,0.215596,0.0929519,0.12264375388622284,,0.249079,0.296461,0.694147,4.31067,619.5000000000001,3.8478260869565224,611,3.7950310559006213,2.09643,1.3702,14,246.27000427246094,4,AL,Shane Smith,681343,31687,31687
MIL,Brewers,9,5,24,32,0,1,,137,586,103,57,52,16,170,71,,7,3.40975,1.2702,11.2056,4.67728,2.39575,1.0387,0.2903,0.121173,0.16912692040205002,,0.201942,0.269569,0.77249,3.8628,659.2000000000003,4.81167883211679,587,4.2846715328467155,2.09587,2.87152,15,117.68000030517578,23,NL,Jacob Misiorowski,694819,31623,31623
MIL,Brewers,9,9,28,28,0,0,,149,611,129,71,65,22,148,44,,7,3.92373,1.16646,8.97369,2.68623,3.34062,1.35022,0.242445,0.0725749,0.169870525598526,,0.230231,0.273722,0.721736,4.11879,639.6000000000001,4.29261744966443,602,4.040268456375839,2.05467,2.22809,15,140.5,23,NL,Brandon Woodruff,605540,16162,16162
WSN,Nationals,8,9,23,34,0,1,,147,623,146,72,66,19,130,43,,6,4.07115,1.28239,7.98419,2.6087,3.06061,1.14625,0.20911,0.068323,0.14078674465417862,,0.253933,0.298938,0.71599,4.01788,591.4999999999999,4.023809523809523,605,4.115646258503402,2.05137,1.90669,13,999,24,NL,Foster Griffin,656492,16432,16432
BOS,Red Sox,9,10,28,28,0,0,,150,649,157,81,74,17,125,52,,7,4.41779,1.39076,7.46023,3.131,2.3827,0.992398,0.192158,0.080647,0.11151047796010971,,0.266139,0.313025,0.691231,4.09642,565.7,3.7713333333333336,602,4.013333333333334,2.04653,1.46649,14,438.3599853515625,3,AL,Brayan Bello,678394,23920,23920
ARI,Diamondbacks,9,10,29,29,0,0,,163,690,165,83,76,23,142,39,,7,4.19795,1.2521,7.87144,2.17272,3.62285,1.25792,0.206539,0.0570102,0.14952907338738441,,0.25587,0.296672,0.702984,4.05665,640.3000000000002,3.9282208588957066,662,4.061349693251533,2.0201,2.02197,15,626.1199951171875,15,NL,Brandon Pfaadt,694297,27782,27782
NYY,Yankees,11,9,28,28,0,0,,152,644,130,72,66,22,159,58,,7,3.90002,1.22891,9.38222,3.40193,2.75791,1.30559,0.246691,0.0894486,0.15724258869886398,,0.223912,0.270162,0.736596,4.2128,639.1999999999999,4.205263157894737,597,3.9276315789473686,2.00739,2.0234,15,199.94000244140625,9,AL,Carlos Rodón,607074,16137,16137
BAL,Orioles,10,9,28,28,0,0,,150,634,135,73,67,20,151,57,,7,4.02385,1.28198,9.09918,3.43413,2.64963,1.17501,0.238256,0.0899205,0.14833536744117737,,0.23608,0.288073,0.72203,4.09861,623,4.153333333333333,600,4,2.00323,1.82725,15,191.19000244140625,2,AL,Shane Baz,669358,22264,22264
TOR,Blue Jays,8,4,21,33,0,1,,116,488,90,48,44,14,141,51,,6,3.39404,1.21357,10.9494,3.9205,2.79286,1.05103,0.289667,0.103717,0.18595028668642044,,0.209404,0.277605,0.763449,3.67475,567.2,4.889655172413794,513,4.422413793103448,2.00216,2.11017,13,177.80999755859375,14,AL,Trey Yesavage,702056,35456,35456
PIT,Pirates,9,6,26,38,0,1,,149,639,136,71,65,17,147,61,,7,3.924,1.32142,8.89083,3.6829,2.41409,1.02507,0.22963,0.0951208,0.1345088854432106,,0.237334,0.291164,0.727399,4.01545,633.9000000000001,4.254362416107383,618,4.147651006711409,1.98523,2.2609,14,151.8000030517578,27,NL,Bubba Chandler,696149,29868,29868
CHC,Cubs,10,10,29,29,0,0,,168,703,155,83,76,24,152,50,,7,4.09734,1.22336,8.17125,2.69256,3.03475,1.30169,0.216913,0.0714763,0.1454365849494934,,0.24056,0.279485,0.711269,4.23101,678,4.035714285714286,661,3.9345238095238093,1.98124,2.12791,15,214.4499969482422,17,NL,Matthew Boyd,571510,15440,15440
MIA,Marlins,7,4,19,27,0,1,,114,482,115,54,49,13,104,27,,5,3.87427,1.23641,8.16165,2.09738,3.89136,1.0403,0.215185,0.0552981,0.1598867028951645,,0.254758,0.304443,0.713056,3.65137,500.69999999999993,4.3921052631578945,517,4.535087719298246,1.96565,1.74174,11,549.1300048828125,20,NL,Braxton Garrett,666129,21844,21844
