Team,ShortName,ProjTeam,ProjAbbName,ProjShortName,ProjLeague,ProjTeamid,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wOBA,wRAA,wRC,wRC+,WAR,FPTS,FPTS_G,SPTS,SPTS_G,woba_sd,truetalent_sd,woba_sd_book,woba_se,total_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
ARI,Diamondbacks,ARI,ARI,Diamondbacks,NL,15,97.12999725341797,378.6911926269531,439.139892578125,100.3125,53.332298278808594,18.188499450683594,8.462800025939941,20.328899383544922,71.72139739990234,60.362300872802734,50.105899810791016,2.19569993019104,90.8479995727539,5.708799839019775,2.95989990234375,1.6742000579833984,25.896099090576172,5.117199897766113,0.26489261422780797,0.11410008668678842,0.20687712755814283,0.5515355323885217,0.35689007561507585,0.5186634878663816,0.8755535634814575,0.25377087363857365,0.29571619961173257,0.37197857239578863,21.008565752647034,72.89632857986186,139.4181964065243,,677.4535976409912,6.974710355169416,677.4535976409912,6.974710355169416,,,,,,,,,,,,,,,,,,,,,,,,14.260000228881836,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
LAD,Dodgers,LAN,LAD,Dodgers,NL,22,108.95999908447266,410.548095703125,474.05694580078125,117.40460205078125,72.37629699707031,25.35059928894043,1.6181999444961548,18.059499740600586,66.31169891357422,69.55460357666016,53.71070098876953,7.58489990234375,85.27079772949219,6.162700176239014,3.2588000297546387,0.3765999972820282,5.835700035095215,1.4046000242233276,0.28597039732874246,0.11330010342542483,0.1798745878207775,0.6298838807531512,0.3742566544920187,0.4875679523687006,0.8618246068607194,0.20159755503995813,0.31997613625647603,0.36753690631894126,20.969457458253984,76.98293923485829,137.86890736606318,,686.1926044583321,6.29765611439068,686.1926044583321,6.29765611439068,,,,,,,,,,,,,,,,,,,,,,,,67.08000183105469,0,1B,/players/freddie-freeman/5361/stats/batting,22,NL,Freddie Freeman,518692,5361,5361
ATL,Braves,ATL,ATL,Braves,NL,16,106.43000030517578,400.4175109863281,468.93121337890625,104.2384033203125,58.0817985534668,21.714799880981445,1.2213000059127808,23.220500946044922,65.89009857177734,69.44989776611328,60.8672981262207,3.2825000286102295,109.99469757080078,3.7513999938964844,3.3143999576568604,0.5806000232696533,0.7904999852180481,0.225600004196167,0.26032428767549987,0.12980005678794226,0.23456467480215004,0.5533657482629285,0.3605356717222045,0.494626974803083,0.8551626465252875,0.23430268712758312,0.29949315015459116,0.36599017761780184,20.15384333260665,75.56168031875343,135.82926217818064,,666.2509505093097,6.259992000365609,666.2509505093097,6.259992000365609,,,,,,,,,,,,,,,,,,,,,,,,48.45000076293945,0,1B,/players/matt-olson/14344/stats/batting,16,NL,Matt Olson,621566,14344,14344
KCR,Royals,KCA,KCR,Royals,AL,7,107.75,445.2496032714844,487.91461181640625,129.70799255371094,76.95330047607422,27.483600616455078,3.8559000492095947,21.415199279785156,75.61990356445312,68.09559631347656,32.15359878540039,0.9757999777793884,82.54930114746094,5.367099761962891,3.3629000186920166,1.781499981880188,25.336200714111328,7.021699905395508,0.2913152344228444,0.06590005301480749,0.16918800779535334,0.38950782548677426,0.3439976748532395,0.5146528987158548,0.8586505735690944,0.22333766429301044,0.314212739880564,0.3658351569112094,20.90830664892603,78.55917846845288,133.53723587559435,,725.1392175912857,6.729830325673185,725.1392175912857,6.729830325673185,,,,,,,,,,,,,,,,,,,,,,,,3.0899999141693115,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SDP,Padres,SDN,SDP,Padres,NL,29,99.18000030517578,397.3619079589844,452.0530700683594,108.56629943847656,64.92369842529297,20.258499145507812,1.3580000400543213,22.026100158691406,69.54979705810547,59.96099853515625,44.84370040893555,0.45210000872612,88.77059936523438,4.972599983215332,2.98799991607666,1.8868999481201172,17.862199783325195,3.6584999561309814,0.27321768207757535,0.09920007932288634,0.1963720749685662,0.5051638800413224,0.3518313834356352,0.4973277345236509,0.8491591179592861,0.22411005244607557,0.2988749452046811,0.3646020213778524,18.91896345203133,72.3325177235746,139.08790256424945,,657.2882390260695,6.627225620121,657.2882390260695,6.627225620121,,,,,,,,,,,,,,,,,,,,,,,,14.100000381469727,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
SFG,Giants,SFN,SFG,Giants,NL,30,95.27999877929688,357.1863098144531,423.0106506347656,91.33470153808594,49.58649826049805,18.871000289916992,0.9435999989509583,21.9335994720459,59.65439987182617,60.981201171875,57.86790084838867,8.460200309753418,101.51229858398438,4.230100154876709,3.0183000564575195,0.7081000208854675,1.6842999458312988,0.5116999745368958,0.25570605319540773,0.13680010364172313,0.23997575103997032,0.5700580289836773,0.36332406807464945,0.49804175534549067,0.8613658234201401,0.24233570215008293,0.2931300881561823,0.3643495023519958,17.616777096266574,67.59874567730982,137.56962934758295,,608.6296876490117,6.387801169674859,608.6296876490117,6.387801169674859,,,,,,,,,,,,,,,,,,,,,,,,60.689998626708984,0.81595092,3B,/players/rafael-devers/17350/stats/batting,30,NL,Rafael Devers,646240,17350,17350
WSN,Nationals,WAS,WSN,Nationals,NL,24,77.66999816894531,298.4620056152344,350.6202697753906,77.81089782714844,43.26190185546875,17.433700561523438,0.8662999868392944,16.249000549316406,51.29140090942383,44.97740173339844,46.42210006713867,3.856800079345703,100.61150360107422,2.1036999225616455,2.4089999198913574,1.2235000133514404,10.461899757385254,3.125,0.2607062083723287,0.1323999325449066,0.28695290111300903,0.4613995259548335,0.3615851542405474,0.4882504385638992,0.8498355928044465,0.2275442301915705,0.33455643463041507,0.3630011667172744,14.218163234223764,55.6466503928641,134.27270481876977,,502.22027844190603,6.466078154778534,502.22027844190603,6.466078154778534,,,,,,,,,,,,,,,,,,,,,,,,36.59000015258789,0.21153846,OF,/players/james-wood/29518/stats/batting,24,NL,James Wood,695578,29518,29518
ARI,Diamondbacks,ARI,ARI,Diamondbacks,NL,15,89.55999755859375,353.6337890625,411.4501037597656,95.85230255126953,57.53269958496094,19.65850067138672,1.4694000482559204,17.191600799560547,62.2140007019043,49.60530090332031,48.30419921875,3.291599988937378,71.50469970703125,4.937399864196777,2.5866000652313232,1.9880000352859497,4.867000102996826,1.0901000499725342,0.27104961549454465,0.11739989558236566,0.17378704988437887,0.6755388025774776,0.36412147141117257,0.48079202137750143,0.844913492788674,0.20974240588295678,0.2940322202652419,0.3629619300263072,16.67179436330979,65.28779523214801,133.24150640733754,,576.0452022671699,6.43194749855032,576.0452022671699,6.43194749855032,,,,,,,,,,,,,,,,,,,,,,,,32.150001525878906,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
BOS,Red Sox,BOS,BOS,Red Sox,AL,3,83.20999908447266,323.7695007324219,383.3094482421875,87.32939910888672,52.89830017089844,20.431699752807617,1.9586999416351318,12.04069995880127,56.31449890136719,40.04079818725586,52.20669937133789,0.3833000063896179,92.17720031738281,3.066499948501587,2.3659000396728516,1.9007999897003174,6.816699981689453,1.6722999811172485,0.26972707099134635,0.13619987613337406,0.24047724557820507,0.5663732375422638,0.3738840665741503,0.45649945100534167,0.830383517579492,0.18677238001399532,0.3392643616742287,0.3620287500468836,15.241130498858633,60.53209603390815,129.735768406393,,522.9631208181382,6.284859110348499,522.9631208181382,6.284859110348499,,,,,,,,,,,,,,,,,,,,,,,,51.470001220703125,0.24657534,OF,/players/roman-anthony/31812/stats/batting,3,AL,Roman Anthony,701350,31812,31812
KCR,Royals,KCA,KCR,Royals,AL,7,96.55999755859375,378.8179931640625,425.64141845703125,103.50430297851562,59.62419891357422,22.143400192260742,1.0430999994277954,20.693500518798828,57.54410171508789,65.106201171875,39.54209899902344,3.405100107192993,60.61090087890625,3.8308000564575195,3.1305999755859375,0.3199999928474426,1.1644999980926514,0.33230000734329224,0.27322963757344254,0.0929000263704723,0.1423989730572354,0.6523925304793621,0.3453321892480621,0.5010699195836973,0.8464021088317594,0.22784028201025475,0.27544454452922573,0.3600319174029646,16.234265976882128,66.52708005186078,129.53960135633628,,596.8873460888863,6.181517824984285,596.8873460888863,6.181517824984285,,,,,,,,,,,,,,,,,,,,,,,,76.41999816894531,0.2125,1B/DH,/players/vinnie-pasquantino/27676/stats/batting,7,AL,Vinnie Pasquantino,686469,27676,27676
