Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
LAA,Angels,143,528,592,136,79,31,1,25,85,82,41,4,142,18,3,2,10,23,8,0.257576,0.330508,0.462121,0.79263,0.340657,0.0692568,0.239865,0.288732,0.204545,5.58154,0.304945,,,83.2162,13.2669,-0.7,0.439237,0.439237,4.01289,13.020637065172195,5.825573265552521,118.032,762.5,5.332167832,762.5,5.332167832,30.649999618530273,0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
TEX,Rangers,113,430,493,112,69,22,0,21,64,63,56,9,90,4,3,0,10,2,0,0.260465,0.348884,0.45814,0.807024,0.344221,0.11359,0.182556,0.622222,0.197674,2.53501,0.282609,,,70.7263,12.4746,3.2,-0.392201,-0.392201,3.95083,13.012738704681396,8.634303331375122,123.07,642.2,5.68318584,642.2,5.68318584,94.87000274658203,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
ATL,Braves,123,434,485,115,70,23,1,21,56,71,45,1,92,5,1,0,10,0,0,0.264977,0.340206,0.467742,0.807948,0.34911,0.0927835,0.189691,0.48913,0.202765,1.5916,0.291925,,,71.504,14.1976,-0.1,-0.785599,-0.785599,3.89906,13.163069188594818,8.810200117528439,124.266,629.8,5.120325203,629.8,5.120325203,80.1500015258789,0.11009174,C,/players/drake-baldwin/31539/stats/batting,16,NL,Drake Baldwin,686948,31539,31539
CHC,Cubs,151,580,634,161,121,28,3,9,82,62,40,1,57,10,4,0,8,26,6,0.277586,0.332808,0.382759,0.715566,0.314543,0.0630915,0.0899054,0.701754,0.105172,6.04562,0.293436,,,75.6779,0.765876,10.9,1.62061,1.62061,3.89653,3.761750817298889,13.229511737823486,102.849,687.1,4.550331125,687.1,4.550331125,102.81999969482422,0,2B/SS,/players/nico-hoerner/21479/stats/batting,17,NL,Nico Hoerner,663538,21479,21479
BOS,Red Sox,134,501,588,134,85,28,3,18,88,71,78,1,143,5,4,0,6,8,4,0.267465,0.369048,0.443114,0.812161,0.354925,0.132653,0.243197,0.545455,0.175649,4.74951,0.337209,,,89.4655,19.9888,7.3,-1.14055,-1.14055,3.79911,16.075881719589233,0.8185186386108398,124.842,769.9,5.745522388,769.9,5.745522388,51.7599983215332,0.24657534,OF,/players/roman-anthony/31812/stats/batting,3,AL,Roman Anthony,701350,31812,31812
ATL,Braves,152,574,609,158,103,29,4,22,74,80,24,1,118,5,4,2,8,19,5,0.275261,0.308072,0.454704,0.762776,0.326517,0.0394089,0.19376,0.20339,0.179443,5.75244,0.310502,,,78.6144,6.6564,7.2,0.887594,0.887594,3.77847,7.231481909751892,9.4376540184021,108.789,733.6,4.826315789,733.6,4.826315789,99.72000122070312,0,OF,/players/michael-harris-ii/25931/stats/batting,16,NL,Michael Harris II,671739,25931,25931
LAD,Dodgers,117,413,487,106,66,20,1,19,67,66,58,3,94,9,7,0,8,2,1,0.256659,0.355236,0.447942,0.803178,0.347324,0.119097,0.193018,0.617021,0.191283,3.05371,0.283388,,,71.0926,13.5498,-1.4,-0.867735,-0.867735,3.75972,12.997899949550629,7.546943306922913,124.022,624.9,5.341025641,624.9,5.341025641,96.91999816894531,0.00980392,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
CHC,Cubs,146,543,601,131,86,24,2,19,78,71,52,1,155,3,3,0,9,14,3,0.241252,0.309484,0.39779,0.707274,0.308742,0.0865225,0.257903,0.335484,0.156538,5.16797,0.301075,,,68.9083,-2.10452,9.9,0.647214,0.647214,3.72076,-0.15362423658370972,16.524779319763184,98.8757,633.4,4.338356164,633.4,4.338356164,150.61000061035156,0,SS,/players/dansby-swanson/18314/stats/batting,17,NL,Dansby Swanson,621020,18314,18314
SDP,Padres,136,500,547,135,86,24,5,20,71,75,36,2,104,3,5,3,5,6,3,0.27,0.319853,0.458,0.777853,0.332621,0.0658135,0.190128,0.346154,0.188,5.04537,0.301837,,,73.3218,8.68948,5.4,-0.840558,-0.840558,3.67363,10.297329127788544,7.409847259521484,117.18,662.1,4.868382352,662.1,4.868382352,70.1500015258789,0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
DET,Tigers,147,557,619,149,88,29,3,29,83,98,54,2,168,4,4,0,10,3,2,0.267504,0.33441,0.486535,0.820945,0.351121,0.0872375,0.271405,0.321429,0.219031,3.72834,0.32967,,,92.2705,19.1309,3.3,-1.16968,-1.16968,3.65285,17.92107403278351,-3.5231921672821045,126.167,825.3,5.614285714,825.3,5.614285714,77.9000015258789,0.1402439,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
