Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
LAD,Dodgers,129,500,577,134,85,27,2,20,83,77,67,9,69,4,6,0,3,7,2,0.268,0.355286,0.45,0.805286,0.344575,0.116118,0.119584,0.971014,0.182,4.31121,0.273381,,,82.9432,14.7662,-4.5,-0.389481,-0.389481,3.66361,14.750918209552765,1.8602294921875,122.139,748.8,5.804651162,748.8,5.804651162,999,0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
ATH,Athletics,142,529,608,141,76,30,1,34,98,111,73,3,160,3,3,0,3,2,1,0.266541,0.356908,0.519849,0.876757,0.373632,0.120066,0.263158,0.45625,0.253308,3.10069,0.316568,,,101.743,29.9033,-1.7,-0.993167,-0.993167,3.58978,27.02995789051056,-12.869899988174438,139.106,901.9,6.35140845,901.9,6.35140845,999,0.04273504,1B,/players/nick-kurtz/35110/stats/batting,10,AL,Nick Kurtz,701762,35110,35110
SFG,Giants,147,553,627,132,81,26,1,24,80,80,66,10,151,3,5,0,2,9,3,0.238698,0.320574,0.41953,0.740104,0.316689,0.105263,0.240829,0.437086,0.180832,4.04824,0.281984,,,75.9347,1.84987,3.9,-0.352786,-0.352786,3.57845,3.3038482069969177,10.811375617980957,104.921,708.6,4.820408163,708.6,4.820408163,999,0.00628931,SS,/players/willy-adames/15986/stats/batting,30,NL,Willy Adames,642715,15986,15986
DET,Tigers,150,566,631,151,89,29,3,30,85,101,57,11,165,4,4,0,2,3,1,0.266784,0.335975,0.487633,0.823607,0.34744,0.0903328,0.26149,0.345455,0.220848,3.856,0.322667,,,92.1732,17.6157,3.1,-0.72715,-0.72715,3.55128,16.847606539726257,-3.8554673194885254,123.631,848.7,5.658,848.7,5.658,999,0.1402439,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
ATL,Braves,152,573,609,157,103,29,3,22,74,81,25,9,114,5,4,2,1,18,5,0.273997,0.308072,0.450262,0.758334,0.320141,0.0410509,0.187192,0.219298,0.176265,5.41543,0.306122,,,75.4619,3.50383,7,0.733806,0.733806,3.41973,3.9251217246055603,9.237654209136963,104.421,724.4,4.765789473,724.4,4.765789473,999,0,OF,/players/michael-harris-ii/25931/stats/batting,16,NL,Michael Harris II,671739,25931,25931
CHC,Cubs,146,562,615,154,115,27,3,9,78,59,39,8,55,10,4,0,1,23,5,0.274021,0.330081,0.380783,0.710864,0.308118,0.0634146,0.0894309,0.709091,0.106762,5.94808,0.288845,,,70.2016,-2.4654,9.9,1.52255,1.52255,3.37755,0.3911994695663452,12.15969967842102,98.4479,657.1,4.500684931,657.1,4.500684931,999,0,2B/SS,/players/nico-hoerner/21479/stats/batting,17,NL,Nico Hoerner,663538,21479,21479
KCR,Royals,145,547,615,134,86,24,5,19,73,75,61,8,158,2,4,1,1,7,1,0.244973,0.320847,0.411335,0.732181,0.314619,0.099187,0.256911,0.386076,0.166362,5.19538,0.307487,,,73.4481,0.781107,1.3,0.0596466,0.0596466,3.33148,-1.2040249183773994,12.598500967025757,98.2566,679.6,4.686896551,679.6,4.686896551,999,0.47368421,C/DH,/players/carter-jensen/29478/stats/batting,7,AL,Carter Jensen,695600,29478,29478
NYM,Mets,136,550,594,158,111,30,1,16,71,78,38,16,96,3,3,0,1,5,3,0.287273,0.335017,0.432727,0.767744,0.323645,0.0639731,0.161616,0.395833,0.145455,3.03139,0.321995,,,75.2929,5.10723,4.1,-1.12638,-1.12638,3.31253,6.33155369758606,6.28253960609436,110.593,702,5.161764705,702,5.161764705,999,0.05035971,SS,/players/bo-bichette/19612/stats/batting,25,NL,Bo Bichette,666182,19612,19612
TEX,Rangers,109,414,474,105,66,21,0,18,59,57,53,9,89,4,3,0,8,2,0,0.253623,0.341772,0.434783,0.776555,0.332295,0.111814,0.187764,0.595506,0.181159,2.57009,0.280645,,,63.4109,7.40416,2.3,-0.352591,-0.352591,3.25203,7.946076065301895,7.52486777305603,114.854,578.9,5.311009174,578.9,5.311009174,999,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
LAD,Dodgers,149,539,595,141,83,30,2,26,75,87,39,8,125,10,6,1,0,9,4,0.261596,0.319865,0.469388,0.789253,0.333784,0.0655462,0.210084,0.312,0.207792,4.28197,0.291878,,,80.3176,10.0137,-0.2,-0.656677,-0.656677,3.22539,9.742895483970642,1.986213967204094,114.747,746.3,5.008724832,746.3,5.008724832,999,0,OF,/players/andy-pages/24816/stats/batting,22,NL,Andy Pages,681624,24816,24816
PHI,Phillies,126,517,561,144,100,26,3,15,77,65,37,9,106,4,3,0,1,21,3,0.27853,0.329768,0.427466,0.757234,0.323108,0.0659537,0.188948,0.349057,0.148936,6.10086,0.323308,,,70.8653,4.57881,1,2.10003,2.10003,3.22097,5.633258581161499,7.183862209320068,105.314,677.4,5.376190476,677.4,5.376190476,999,0.00714286,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
