Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SDP,Padres,142.857,546.77,600,157.62,95.6725,32.1614,4.22348,25.5628,85.9912,85.4464,45.1242,3.02401,99.132,3.42403,4.2,0.482,,7.45738,3.25522,0.288275,0.34389,0.502802,0.846693,0.360513,0.0752071,0.16522,0.455194,0.214527,4.69367,0.309794,,,94.0135,23.1188,2.48571,-0.773728,-1.12,4.78457,21.82911765575409,4.628571271896362,132.362,846.7,5.92097902,846.7,5.92097902,70.1500015258789,0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
STL,Cardinals,142.857,525.333,600,140.144,80.2289,29.0764,0.331913,30.5065,78.3186,89.2206,61.8425,3.14072,119.051,8.62429,4.2,0,,2.8731,2.74956,0.266771,0.351018,0.497596,0.848613,0.363061,0.103071,0.198418,0.519464,0.230824,2.15454,0.288537,,,95.2547,24.3601,0.725724,-1.52548,-2.143,4.69991,22.04739737510681,3.5828665494918823,134.112,844.8,5.907692307,844.8,5.907692307,999,0,C,/players/rainiel-rodriguez/sa3023987/stats/batting,28,NL,Rainiel Rodriguez,823787,sa3023987,sa3023987
BOS,Red Sox,142.857,506.162,600,137.698,83.983,29.8096,2.56653,21.3384,85.4365,76.0191,85.5101,3.28929,133.55,4.12775,4.2,0,,8.06795,3.87129,0.272042,0.378892,0.467548,0.846441,0.366684,0.142517,0.222583,0.640287,0.195506,4.22936,0.327335,,,97.0194,26.1248,7.28571,-1.09624,-1.558,4.66144,24.397078156471252,0.8571429252624512,136.6,842.3,5.89020979,842.3,5.89020979,51.7599983215332,0.24657534,OF,/players/roman-anthony/31812/stats/batting,3,AL,Roman Anthony,701350,31812,31812
LAD,Dodgers,142.857,516.046,600,141.33,84.9312,28.5375,2.03718,25.8237,83.811,81.8411,76.5097,3.33549,87.9976,3.2442,4.2,0,,22.4355,3.64969,0.27387,0.368472,0.48719,0.855663,0.367801,0.127516,0.146663,0.869452,0.21332,5.29199,0.2842,,,97.5638,26.6692,1.37143,1.92731,2.559,4.53326,29.05850601196289,-5.057142615318298,137.368,884.1,6.182517482,884.1,6.182517482,13.220000267028809,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
DET,Tigers,142.857,524.08,600,145.348,89.0705,32.0237,0.494467,23.7594,78.179,82.0957,69.4948,3.0509,79.3945,2.22478,4.2,0,,13.0867,5.33431,0.277339,0.361779,0.476337,0.838117,0.360886,0.115825,0.132324,0.87531,0.198998,3.78632,0.286006,,,94.195,23.3004,-0.524359,-0.608485,-0.894,4.5183,22.23668199777603,1.6184983253479004,132.618,830.1,5.804895104,830.1,5.804895104,999,0,SS,/players/kevin-mcgonigle/sa3022895/stats/batting,6,AL,Kevin McGonigle,805808,sa3022895,sa3022895
CLE,Guardians,142.857,533.796,600,142.11,87.9688,30.0202,2.975,21.1464,79.7265,76.1848,57.7737,2.27304,73.1387,4.23066,4.2,0,,33.3834,7.386,0.266226,0.340191,0.452457,0.792648,0.342026,0.0962896,0.121898,0.789921,0.186231,6.12056,0.272619,,,85.0077,14.113,3,2.67693,3.586,4.39726,17.52930974960327,5.142857074737549,119.662,791.8,5.537062937,791.8,5.537062937,6.079999923706055,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
NYM,Mets,142.857,534.539,600,138.171,86.3176,27.4399,1.03016,23.3833,73.4412,77.1844,51.4468,2.03332,111.375,9.81406,4.2,0,,22.792,5.29343,0.258486,0.332386,0.444908,0.777295,0.336224,0.0857447,0.185625,0.461925,0.186422,5.04521,0.284141,,,82.181,11.2863,2.91429,1.42981,1.89,4.36425,13.00661814212799,9.342856884002686,115.676,750.7,5.249650349,750.7,5.249650349,25.670000076293945,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
ARI,Diamondbacks,142.857,526.378,600,140.869,85.5485,27.7203,1.52967,26.0705,79.2026,81.5242,63.151,2.80729,104.673,6.27068,4.2,0,,5.67691,1.63287,0.267619,0.350484,0.474678,0.825162,0.354974,0.105252,0.174455,0.603316,0.207059,3.56478,0.287115,,,91.3152,20.4206,0.514286,-0.537835,-0.794,4.34016,19.456894516944885,2.6571428179740906,128.557,813.4,5.688111888,813.4,5.688111888,32.060001373291016,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
TOR,Blue Jays,142.857,522.402,600,157.786,97.9478,31.0647,0.460174,28.3135,83.7489,88.8458,67.7603,4.20624,82.0921,5.63796,4.2,0,,5.05575,2.36978,0.30204,0.385307,0.525863,0.91117,0.388984,0.112934,0.13682,0.825417,0.223823,2.92987,0.311086,,,107.883,36.9884,-2.74286,-1.06272,-1.52,4.31228,35.298668384552,-13.457143068313599,151.92,941.8,6.586013986,941.8,6.586013986,18.299999237060547,0.15286624,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
ATL,Braves,142.857,554.112,600,158.114,99.3093,32.4238,3.53976,22.8407,80.6383,81.7387,34.7337,2.43065,104.091,5.47461,4.2,1.48,,20.3576,5.78827,0.285346,0.331354,0.480299,0.811652,0.346691,0.0578895,0.173485,0.333687,0.194953,5.85061,0.313581,,,87.2799,16.3853,1.37143,0.796129,1.022,4.20079,17.237587571144104,3.514285683631897,122.866,803.8,5.62097902,803.8,5.62097902,99.72000122070312,0,OF,/players/michael-harris-ii/25931/stats/batting,16,NL,Michael Harris II,671739,25931,25931
MIL,Brewers,142.857,523.816,600,143.028,94.0485,29.2296,0.755792,18.994,75.3544,72.5684,67.509,2.47214,112.272,3.8845,4.2,0.591,,6.61091,2.16342,0.27305,0.357721,0.440519,0.79824,0.347199,0.112515,0.18712,0.601298,0.167469,3.34272,0.312625,,,87.5276,16.6329,1.71429,-0.639651,-0.928,4.13478,15.535226345062256,4.571428656578064,123.216,768.9,5.376923076,768.9,5.376923076,55.79999923706055,0.14473684,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
