name,mlbam_id,espn_id,pitcher_type,IP,pos_adj_werth,werth_mean_sim,werth_std_sim,werth_q10_sim,werth_q90_sim,werth_skew_sim,risk_adj_werth_mc,waiver_floor,draft_value_mc
Kyle Nicolas,693312,,RP,36.8005,-3.9101852257538345,-3.9101852257538345,0.8378994489849506,-5.043012610247795,-2.8877009676601286,-0.679568078401852,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Jordan Hicks,663855,37909.0,RP,58.6952,-3.944848550902453,-3.944848550902453,0.7358868499040891,-4.913313766685198,-2.9943119254258383,-0.13521533440803193,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Matt Gage,657424,,RP,52.7822,-2.9952124942469585,-2.9952124942469585,0.6397994930903723,-3.8203530500259055,-2.1809868092010274,-0.1446458824877071,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Andre Granillo,701552,,RP,45.2611,-3.303376385097722,-3.303376385097722,0.6367669426473107,-4.148997050005133,-2.5260705587435854,-0.4978667060676816,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Lou Trivino,642152,35844.0,RP,19.6757,-3.430359250073762,-3.430359250073762,1.2865571236169693,-5.233698478077425,-2.064205617221195,-0.9875017332319584,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Pedro Avila,658648,,RP,35.5687,-3.9108863309423096,-3.9108863309423096,2.0218607140139855,-6.829547673497691,-2.024436223125845,-1.2287408589984807,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Reiver Sanmartin,665665,39799.0,RP,26.9454,-3.342068868793916,-3.342068868793916,1.0442041471737682,-4.7640596905490336,-2.2458681126126305,-0.9782927336545799,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Tim Herrin,682120,,RP,51.3349,-2.649627132458641,-2.649627132458641,0.4801219997029049,-3.267725435076694,-2.052786447533364,-0.03255873092289057,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
James McArthur,663704,,RP,25.8668,-3.0193115672072546,-3.0193115672072546,0.7520943730705112,-4.0632338920856945,-2.289626949545676,-1.3529137985370816,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Richard Lovelady,663992,39856.0,RP,21.7507,-2.9880306594951636,-2.9880306594951636,0.6771754940742583,-3.9114120201130693,-2.332852984246928,-1.1900118831522222,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Elvis Alvarado,665660,,RP,59.464,-3.216127127355737,-3.216127127355737,0.5585102456185114,-3.9151984545445235,-2.5010708737826346,0.06867680319546128,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
PJ Poulin,676571,,RP,57.3701,-2.814675606023296,-2.814675606023296,0.5210814542906703,-3.504046097848751,-2.138978504611112,-0.034572852261241,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Dylan Ross,697811,,RP,25.7878,-3.3232079605113922,-3.3232079605113922,0.6501095672133882,-4.195032291191373,-2.646930104072227,-1.1680281124755267,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Tim Mayza,641835,35773.0,RP,22.3024,-3.254364253351963,-3.254364253351963,0.7503245453311967,-4.27720291970977,-2.4323951427642982,-0.8469115101351833,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Jake Bird,656234,3459223.0,RP,53.8011,-2.7819357531380655,-2.7819357531380655,0.5108368201281225,-3.4270703332724537,-2.1418204757057806,-0.11696759641051688,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
John Brebbia,605154,39085.0,RP,35.8696,-3.794100908243185,-3.794100908243185,0.8750739889959519,-4.918752708396602,-2.765374696750848,-0.6108083992187121,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
JT Brubaker,664141,41460.0,RP,55.1313,-3.581992798348936,-3.581992798348936,0.8945221247239241,-4.7269909893234585,-2.454978599182043,-0.15656800606677815,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
José Leclerc,600917,33926.0,RP,27.7337,-3.2269616415837747,-3.2269616415837747,0.7294911961225219,-4.256891314796065,-2.481269652290277,-1.2243473973378485,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Travis Adams,701519,,RP,58.4958,-4.611978351303561,-4.611978351303561,2.4018188423107327,-7.871061772569956,-1.7302075892787974,-0.7551380245683731,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Colin Holderman,670059,,RP,39.155,-3.4760757044751402,-3.4760757044751402,0.44374133774172747,-4.056233058608178,-2.935521979652245,-0.4589692657697655,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Tim Hill,657612,37005.0,RP,62.2385,-3.538615712152202,-3.538615712152202,0.6374153537297319,-4.353412755312056,-2.707531689823675,0.025956937131881182,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Justin Lawrence,664875,,RP,56.6822,-3.1517956582272006,-3.1517956582272006,0.5119187020039249,-3.8149938682571904,-2.4990336782218594,0.047808436070659474,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Sam Moll,594580,,RP,42.2192,-3.316071443595564,-3.316071443595564,0.6452668171101277,-4.167418370950452,-2.5269625464709105,-0.4646612761594279,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Huascar Brazobán,623211,4916509.0,RP,50.6109,-3.0260681086352585,-3.0260681086352585,0.5156175521925653,-3.683224852499005,-2.3879758263397677,-0.3398363488260395,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Isaac Mattson,676755,,RP,62.4263,-3.0336738388998015,-3.0336738388998015,0.5614164963583572,-3.745797639519346,-2.3155021040800765,-0.00816013412139818,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Nick Mears,683232,42620.0,RP,58.5249,-2.640371845926521,-2.640371845926521,0.571238557560987,-3.3633307791048965,-1.927280926185923,-0.07169327670872241,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Andrew Chafin,605177,32810.0,RP,46.787,-3.28177731130657,-3.28177731130657,0.669471382313971,-4.177316687894789,-2.5072337665471904,-0.6327099470096721,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Ryan Brasier,518489,30189.0,RP,39.792,-2.7013879921008224,-2.7013879921008224,0.4013809926541385,-3.248198475374482,-2.2538700831928935,-0.6686988182406048,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Connor Prielipp,687570,,RP,57.634,-3.639290234152023,-3.639290234152023,1.5883701537542185,-5.831689719859626,-1.8523977480502138,-0.848266533015291,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Emerson Hancock,676106,4297897.0,RP,66.0457,-4.007630632910954,-4.007630632910954,1.8930547147098589,-6.5928241533295,-1.677346776658119,-0.7223058872092236,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Evan Sisk,681895,,RP,36.5691,-3.3643596994956075,-3.3643596994956075,0.4350862950695041,-3.929365016770761,-2.8430549141196764,-0.5932894411668602,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Gus Varland,681402,41552.0,RP,26.0015,-3.412220033894659,-3.412220033894659,0.9485651173867641,-4.6794235160883915,-2.3746946770482404,-1.0647553618789733,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Grant Wolfram,664991,,RP,38.6617,-3.6698786168579254,-3.6698786168579254,0.5922300256395437,-4.436725898107018,-2.9787265631569766,-0.607277868342936,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Nate Pearson,663878,39646.0,RP,43.9334,-3.8768163122823953,-3.8768163122823953,0.5173607272585206,-4.539075694464047,-3.223146939622175,-0.44256237663699544,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Jalen Beeks,656222,36723.0,RP,51.6578,-2.913051875049746,-2.913051875049746,0.5930132941127568,-3.702792431348637,-2.1976968910767916,-0.2986285134420397,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Drew Sommers,805427,,RP,16.1701,-3.253122590516096,-3.253122590516096,0.8429977016571201,-4.429100179036243,-2.3912812817324087,-1.195187942039131,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Paxton Schultz,687606,,RP,41.4588,-3.667435927907192,-3.667435927907192,0.7282834989320806,-4.606268215316656,-2.7769016430868074,-0.5133709297608321,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Chris Roycroft,688297,,RP,39.0741,-4.414265357628819,-4.414265357628819,0.7046695574081313,-5.3405750074685505,-3.5176600146883996,-0.1437259633524519,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Ryan Johnson,696270,,RP,28.6772,-3.2097205367303046,-3.2097205367303046,0.7176447016909121,-4.1455725530277805,-2.3427583866784363,-0.36058618610552484,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Kyle Hurt,669165,,RP,35.5246,-3.2378738131950664,-3.2378738131950664,0.7383215016920046,-4.1790444493596155,-2.3713352508841066,-0.6360256464294921,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Spencer Miles,693686,,RP,10.1458,-3.065626157504764,-3.065626157504764,1.2220366134095086,-4.822689737175612,-2.039429329581658,-1.5619013418397625,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Eric Orze,679358,,RP,58.4557,-3.7806425146084086,-3.7806425146084086,0.5138557126839582,-4.437388566863876,-3.125593721294351,0.1447559408508561,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Sean Newcomb,656794,33856.0,RP,71.5554,-3.3131899040629493,-3.3131899040629493,0.5710155596056332,-4.045507629930712,-2.58515290953042,-0.021622581017569028,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Michael Fulmer,605242,34842.0,RP,10.4336,-2.9708453799628147,-2.9708453799628147,0.7942676631237422,-4.120281197028231,-2.2305476241133184,-1.4367235513318417,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Ryan Weiss,680802,,RP,80.7849,-3.5541409246686433,-3.5541409246686433,0.7711282768828991,-4.594535040485771,-2.643769583710132,-0.47968217826967174,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Philip Abner,691769,,RP,34.2189,-3.3231998059272074,-3.3231998059272074,0.5387427162815548,-4.031318026364312,-2.6682842105252993,-0.5549654890559076,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Ryan Borucki,621366,36192.0,RP,39.0441,-3.08532824715392,-3.08532824715392,0.6519664951649112,-3.9685140199947453,-2.3260974141836965,-0.4109307038085887,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Brock Burke,656271,39945.0,RP,59.485,-2.7490011622547676,-2.7490011622547676,0.5354880753689756,-3.420152346890561,-2.0490904716455374,-0.018868460377197842,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Ryan Gusto,687473,,RP,49.2267,-4.116334659483977,-4.116334659483977,2.022454711300142,-6.800948970498192,-1.8273095990676114,-0.9289015972400377,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
Josh Sborz,622250,36178.0,RP,46.7833,-2.839555147383466,-2.839555147383466,0.624959067301096,-3.686943580230934,-2.070510319213223,-0.3331896939735028,-0.6812617159613447,-0.6812617159613445,-1.1102230246251565e-16
