mlbam_id,name,age,ip_projected,ip_fullseason,games_missed_estimate,ip_disagreement,injury_risk_tier
571616.0,Matt Dermody,,1.0,200,161.19,,VERY_HIGH
687075.0,Brandon Sproat,,112.50351428571427,200,70.87215342857144,40.444291155094994,LOW
837227.0,Tatsuya Imai,,151.63479999999998,200,39.175812000000015,1.8367489485501325,LOW
434378.0,Justin Verlander,,144.83371428571428,200,44.68469142857143,24.224897232078447,LOW
607259.0,Nick Martinez,,150.9057142857143,200,39.76637142857141,21.050572325666,LOW
608379.0,Michael Wacha,,167.26671428571427,200,26.51396142857144,15.32189312404841,LOW
605135.0,Chris Bassitt,,172.62457142857144,200,22.174097142857136,14.52682146762949,LOW
694819.0,Jacob Misiorowski,,143.9077142857143,200,45.434751428571424,25.313197774509415,LOW
703186.0,Jarlin Susana,,71.843345,200,103.80689054999999,92.52426265844778,HIGH
668909.0,Gavin Williams,,169.51914285714287,200,24.689494285714275,14.917240265640862,LOW
694297.0,Brandon Pfaadt,,167.87485714285714,200,26.02136571428571,13.405776558739785,LOW
682990.0,Quinn Priester,,135.323,200,52.38836999999999,28.88285878048316,LOW
621107.0,Zach Eflin,,149.75985714285713,200,40.69451571428572,28.647933755791016,LOW
607625.0,Seth Lugo,,159.72914285714288,200,32.619394285714264,19.116138586968614,LOW
681343.0,Shane Smith,,163.75385714285716,200,29.359375714285708,16.666279023111024,LOW
656550.0,Grant Holmes,,137.80471428571428,200,50.37818142857143,37.88358516875211,LOW
592468.0,Nick Kingham,,1.0,200,161.19,,VERY_HIGH
605488.0,Jeffrey Springs,,164.8907142857143,200,28.438521428571423,16.6095743846161,LOW
699314.0,David Davalillo,,76.2376725,200,100.247485275,93.52288148648806,MODERATE
669160.0,Dustin May,,155.04500000000002,200,36.413549999999994,25.579422341666227,LOW
702070.0,Noah Cameron,,152.3177142857143,200,38.62265142857144,20.361585733223937,LOW
683004.0,Jack Leiter,,159.59585714285714,200,32.72735571428572,18.399928626931967,LOW
800048.0,Parker Messick,,135.87842857142857,200,51.938472857142855,28.408467944477064,LOW
700241.0,Michael McGreevy,,147.45128571428572,200,42.56445857142857,23.330389393194775,LOW
680573.0,Simeon Woods Richardson,,146.232,200,43.55208,23.970805764512797,LOW
622663.0,Luis Severino,,169.85185714285714,200,24.419995714285722,17.068286893422854,LOW
694346.0,Trey Gibson,,55.971645,200,116.66296754999999,79.70399765509977,VERY_HIGH
695558.0,Jonathan Santucci,,77.247,200,99.42993,93.8911982172273,MODERATE
690986.0,Kyle Harrison,,117.15294285714286,200,67.10611628571428,36.09196591384557,LOW
695611.0,Gage Jump,,75.98497142857143,200,100.45217314285716,59.05793889240503,MODERATE
694375.0,TJ Nichols,,77.4181575,200,99.291292425,93.85792917372099,MODERATE
665152.0,Dean Kremer,,136.2637142857143,200,51.626391428571424,29.815493677584733,LOW
669194.0,Ryne Nelson,,164.01871428571425,200,29.144841428571446,17.545288586154076,LOW
450203.0,Charlie Morton,,72.848745,200,102.99251655000002,75.09817790184094,HIGH
592791.0,Jameson Taillon,,150.57628571428572,200,40.03320857142857,21.271314649188046,LOW
695076.0,Rhett Lowder,,128.40528571428572,200,57.99171857142856,31.447451760645016,LOW
593423.0,Frankie Montas,,72.34997,200,103.3965243,92.52438652955375,HIGH
806258.0,Thomas White,,67.2531,200,107.524989,70.81164271770568,VERY_HIGH
641793.0,Zack Littell,,156.39814285714283,200,35.317504285714314,18.672595217131903,LOW
518852.0,Eric Jokisch,,1.0,200,161.19,,VERY_HIGH
682243.0,Bryce Miller,,147.06057142857142,200,42.88093714285714,23.531297753255785,LOW
650644.0,Aaron Civale,,134.66085714285714,200,52.92470571428572,29.446814289656594,LOW
663978.0,Chris Paddack,,138.267,200,50.00373,27.536496593914535,LOW
669467.0,Andre Pallante,,142.78685714285714,200,46.34264571428571,24.460413068388494,LOW
664062.0,Tony Gonsolin,,51.79743,200,120.04408169999999,76.0233273258715,VERY_HIGH
691776.0,Josh Hartle,,76.4070375,200,100.110299625,93.59180564970573,MODERATE
824620.0,Tyson Hardin,,72.1121325,200,103.589172675,92.46467939051227,HIGH
806960.0,Luis Morales,,129.845,200,56.82555000000001,30.314526341893146,LOW
641816.0,Tyler Mahle,,138.087,200,50.14953000000001,32.688007918297295,LOW
663372.0,Ryan Feltner,,114.87942857142856,200,68.94766285714286,36.81518292705309,LOW
502043.0,Kyle Gibson,,81.0654,200,96.337026,95.47475779129616,MODERATE
694738.0,Landen Roupp,,131.4602857142857,200,55.517168571428584,30.903626441537494,LOW
804267.0,Zach Thornton,,68.2876775,200,106.686981225,92.06894377969891,HIGH
